Delay -5C 15C 35C 55C
-4323.98149 1.2e-05 -1.2e-05 1.9e-05 -8.2e-05
-4322.9808 7.5e-05 -2.4e-05 1.9e-05 -3.8e-05
-4321.98011 5.3e-05 -8.8e-05 -8.8e-05 -5e-06
-4320.97942 -0.000126 -2.9e-05 -7.5e-05 -1.4e-05
-4319.97873 8.9e-05 0.000209 3.7e-05 -6.8e-05
-4318.97804 -1e-06 5.7e-05 6.6e-05 8.8e-05
-4317.97735 9.5e-05 5.3e-05 -3e-05 -4.1e-05
-4316.97666 -1.4e-05 0.000183 6.5e-05 -0.000106
-4315.97597 -1.5e-05 0.000234 -4.2e-05 0.000107
-4314.97528 -0.000104 7.7e-05 -0.000133 -0.000118
-4313.97459 8.1e-05 -0.000114 -3.5e-05 -1.3e-05
-4312.9739 2.8e-05 4.7e-05 -9e-05 -3.1e-05
-4311.97321 2.4e-05 0.000112 1e-06 -4.9e-05
-4310.97252 -0.000101 -1.7e-05 6.7e-05 -2.2e-05
-4309.97183 -7.4e-05 8.3e-05 9.1e-05 -1e-06
-4308.97114 8e-06 5.5e-05 3e-06 -0.000174
-4307.97045 -0.000106 2.3e-05 6.3e-05 -1.1e-05
-4306.96976 5.3e-05 -2e-05 1.6e-05 -0.000101
-4305.96907 5e-06 8.5e-05 0 -8e-06
-4304.96838 -0.000166 0.000124 -0.000102 -0.000107
-4303.96769 -9.7e-05 -1.1e-05 -5.2e-05 -6e-05
-4302.967 1.8e-05 -1.5e-05 -5.7e-05 7e-06
-4301.96631 -5.6e-05 -6.4e-05 2.7e-05 -3.6e-05
-4300.96562 2e-05 -4.3e-05 -0.000127 5.7e-05
-4299.96493 -0.000164 -0.000123 6e-06 8.4e-05
-4298.96424 4.8e-05 -7.1e-05 -4.1e-05 1.3e-05
-4297.96355 5.8e-05 1.8e-05 -3.1e-05 1.9e-05
-4296.96286 -0.000167 9e-05 -3.9e-05 1.8e-05
-4295.96217 3.1e-05 6e-05 1.5e-05 -6.2e-05
-4294.96148 5.7e-05 6.5e-05 -8e-06 -3.2e-05
-4293.96079 -0.000116 -5.3e-05 4.4e-05 -4.8e-05
-4292.9601 1.6e-05 1.7e-05 4.4e-05 8.4e-05
-4291.95941 0.000133 5.5e-05 -1.7e-05 -0.000119
-4290.95872 0 -1.9e-05 -2e-06 -4.1e-05
-4289.95803 -0.000134 0.000151 3e-06 2.8e-05
-4288.95734 -0.000115 -3.7e-05 0.000102 -3.9e-05
-4287.95665 3.2e-05 4e-06 -4.3e-05 4.4e-05
-4286.95596 0.000164 4.2e-05 7.4e-05 4.5e-05
-4285.95527 0.00018 0.000143 8.3e-05 -3.2e-05
-4284.95458 -2.6e-05 -0.000117 -7e-06 0.000112
-4283.95389 0.000149 2.6e-05 8.7e-05 -8.8e-05
-4282.9532 9.9e-05 2.4e-05 -4.2e-05 4.6e-05
-4281.95251 -0.000101 1.5e-05 3e-05 -4.2e-05
-4280.95182 -1.2e-05 6.4e-05 -4.3e-05 6.7e-05
-4279.95113 -0.000132 1e-05 1.8e-05 1e-06
-4278.95044 0.00014 -1e-06 -0.000121 4.4e-05
-4277.94975 -1.2e-05 1.1e-05 -8e-05 -0.000116
-4276.94906 1.4e-05 4.9e-05 -2.8e-05 4.9e-05
-4275.94837 -1e-06 2e-05 -7.6e-05 -0.000126
-4274.94768 0.000216 0.000198 -0.000101 -3e-06
-4273.94699 6.8e-05 4e-06 -6.5e-05 3.5e-05
-4272.9463 1.3e-05 9e-06 -6.7e-05 8.1e-05
-4271.94561 -4.1e-05 -2.2e-05 -0.000139 7.6e-05
-4270.94492 1.3e-05 0.000141 3.8e-05 -0.000119
-4269.94423 9.3e-05 -1e-05 7.9e-05 7.5e-05
-4268.94354 -6e-06 0.000132 -9.8e-05 0.00012
-4267.94285 4.5e-05 1.3e-05 2.5e-05 -0.000108
-4266.94216 7.2e-05 -5.3e-05 6.3e-05 9e-05
-4265.94147 9.9e-05 -2.8e-05 2.5e-05 -4e-05
-4264.94078 -3.4e-05 4.7e-05 -2.8e-05 8.3e-05
-4263.94009 -5.3e-05 7.6e-05 -1.8e-05 9.4e-05
-4262.9394 -6.9e-05 -2.3e-05 0.00012 2.2e-05
-4261.93871 0.000151 1.3e-05 -0.000114 -6.9e-05
-4260.93802 -8.2e-05 7.6e-05 0.000121 0.00017
-4259.93733 6.7e-05 7.1e-05 -9.4e-05 0.000122
-4258.93664 -2.5e-05 5.3e-05 8.5e-05 2.5e-05
-4257.93595 0.000113 6.1e-05 3.1e-05 -1e-06
-4256.93526 -5.2e-05 -0.000125 8.9e-05 7.5e-05
-4255.93457 6.3e-05 9.3e-05 0.000121 -2.1e-05
-4254.93388 4.8e-05 5.6e-05 7.4e-05 2e-05
-4253.93319 0 5.8e-05 2e-06 3.2e-05
-4252.9325 -5.5e-05 -0.000158 2.9e-05 8.7e-05
-4251.93181 -0.000147 -8e-05 -8.4e-05 6.4e-05
-4250.93112 0.000168 -4.8e-05 -6.1e-05 -2.3e-05
-4249.93043 0.000229 6.4e-05 -2.9e-05 -0.000133
-4248.92974 1.2e-05 -5.2e-05 -5e-05 5.1e-05
-4247.92905 7.9e-05 5.2e-05 8.2e-05 4e-05
-4246.92836 4e-06 -3.5e-05 0.000125 2.2e-05
-4245.92767 6.6e-05 -5.3e-05 0.0001 0.000167
-4244.92698 -4.8e-05 -0.000146 -9.6e-05 6.8e-05
-4243.92629 -0.00016 -6.4e-05 -2.7e-05 -6e-06
-4242.9256 -7e-05 -6.5e-05 0.000138 9.3e-05
-4241.92491 -0.000193 -7e-05 3.1e-05 4.7e-05
-4240.92422 -0.000131 0.000289 -2.3e-05 -1.9e-05
-4239.92353 -6.5e-05 -7.9e-05 8.9e-05 1.4e-05
-4238.92284 -0.000131 -0.000129 9.8e-05 0.000116
-4237.92215 -9e-06 8.5e-05 5.7e-05 5.5e-05
-4236.92146 9.8e-05 3e-06 -5.2e-05 -5.3e-05
-4235.92077 -5.4e-05 9e-06 -8e-06 -6.8e-05
-4234.92008 -4.4e-05 6.3e-05 -0.0001 -2e-05
-4233.91939 9.6e-05 -3.6e-05 -7.1e-05 2.6e-05
-4232.9187 0.000139 0.000162 0.000125 -2.7e-05
-4231.91801 0.000107 -1.4e-05 -2.3e-05 -5.8e-05
-4230.91732 -0.000195 3.6e-05 -3.1e-05 6.2e-05
-4229.91663 6e-05 -3.3e-05 6e-06 -5.3e-05
-4228.91594 7.9e-05 -0.00016 -1e-06 1e-06
-4227.91525 0.000158 -1.4e-05 -7.5e-05 -9e-06
-4226.91456 -6.5e-05 3e-05 -5.7e-05 -0.000113
-4225.91387 5.9e-05 -0.000169 -0.0001 8e-06
-4224.91318 0.000115 -0.000104 -0.00011 -3e-05
-4223.91249 -0.00015 2.8e-05 -5.3e-05 5.4e-05
-4222.9118 4.5e-05 9e-06 -7e-06 0.000106
-4221.91111 -4.9e-05 2.1e-05 -8.2e-05 3.8e-05
-4220.91042 -9.2e-05 5.9e-05 -6e-06 2.3e-05
-4219.90973 -0.000144 -6e-06 -9.7e-05 1e-05
-4218.90904 4.7e-05 -9.2e-05 6e-05 4.9e-05
-4217.90835 -4.6e-05 -8.8e-05 -2.2e-05 0.000171
-4216.90766 2.7e-05 -5.7e-05 4.4e-05 -3.1e-05
-4215.90697 -5.7e-05 -5e-05 -0.000109 2.9e-05
-4214.90628 0.000158 -7.2e-05 -7e-05 3.4e-05
-4213.90559 7.6e-05 -6.7e-05 -1.5e-05 0
-4212.9049 5e-06 2.9e-05 0.000134 0.000128
-4211.90421 -0.000175 7.9e-05 -1.2e-05 -0.000132
