Wavenumber parallel perpendicular
-0.06835938 0.1042709272 0.0460028844
0.4137649 0.1083585038 0.0502718656
0.8958892 0.1021447872 0.0510035724
1.378013 0.0847059134 0.0503776372
1.860138 0.0594261845 0.0515302964
2.342262 0.0333576504 0.0582265068
2.824386 0.0172102602 0.0703848112
3.30651 0.0158005947 0.0830426432
3.788635 0.0236138226 0.0908905404
4.270759 0.037733884 0.090363152
4.752883 0.0570804416 0.0805174656
5.235008 0.0782371679 0.0630717164
5.717132 0.0960911865 0.041446856
6.199256 0.106467465 0.01948226236
6.68138 0.1078557457 0.00115078744
7.163505 0.0962336026 0.00249323008
7.645629 0.0816386887 0.01448061032
8.127753 0.0745533914 0.02222095304
8.609878 0.0720831164 0.02527194472
9.092002 0.0675424974 0.02436415212
9.574126 0.0565957685 0.02066360164
10.05625 0.03908192697 0.01651561912
10.53837 0.01878792092 0.01696076756
11.0205 0.00895525771 0.02422278012
11.50262 0.01218508037 0.03393870216
11.98475 0.01222608052 0.04410703176
12.46687 0.00744806728 0.05374897704
12.949 0.00432916715 0.0621418314
13.43112 0.00834651769 0.06881799892
13.91324 0.0166779023 0.0737710776
14.39537 0.0250480863 0.0767797492
14.87749 0.0327252611 0.0771475012
15.35962 0.041748371 0.0741599716
15.84174 0.0547404814 0.0677972724
16.32387 0.0726368717 0.0593208792
16.80599 0.0933880634 0.0512125284
17.28811 0.112517057 0.0460061756
17.77024 0.1251855146 0.0446258076
18.25236 0.1281909288 0.0462513876
18.73449 0.121042377 0.0496488872
19.21661 0.106252607 0.0537053088
19.69874 0.0882519595 0.057135958
20.18086 0.0707464287 0.0586533244
20.66298 0.0545910933 0.0577079184
21.14511 0.0385423781 0.0551027532
21.62723 0.02140195747 0.05318494236
22.10936 0.00248963809 0.05511170852
22.59148 -0.01792900636 0.06211232632
23.0736 -0.01717746582 0.06982451344
23.55573 0.00575479619 0.07398087532
24.03785 0.0336245741 0.0727278728
24.51998 0.0602411034 0.0653540844
25.0021 0.0789691903 0.0534169768
25.48423 0.0851300459 0.039886682
25.96635 0.0780746961 0.02773100176
26.44847 0.0615576136 0.019059183
26.9306 0.04233800988 0.01610764848
27.41272 0.02944582409 0.0196311236
27.89485 0.02894934834 0.0243311684
28.37697 0.03638394227 0.02506321268
28.8591 0.0479867799 0.02000276784
29.34122 0.0611009163 0.01306352256
29.82335 0.0686092557 0.01714262528
30.30547 0.0690321761 0.03102215908
30.78759 0.0647486279 0.0444799036
31.26972 0.0556883186 0.0533596536
31.75184 0.0414200576 0.057223254
32.23397 0.0229370227 0.0578538356
32.71609 0.00530417986 0.05762951568
33.19822 0.00145181958 0.05754874224
33.68034 0.0121065187 0.0576312132
34.16246 0.02287082146 0.05720617408
34.64459 0.0295820163 0.0543369728
35.12671 0.0330732647 0.0485136212
35.60884 0.0340442332 0.043085856
36.09096 0.0316063138 0.0438997108
36.57309 0.0262108027 0.0506531212
37.05521 0.01984380309 0.05609512612
37.53733 0.01276521282 0.05477016336
38.01946 0.00385747608 0.04629450584
38.50158 -0.00457037807 0.03525921388
38.98371 0.00748479718 0.02920766948
39.46583 0.02357930238 0.03255879308
39.94796 0.032874457 0.0381531744
40.43008 0.034253593 0.0417811196
40.9122 0.02840518727 0.04388214116
41.39433 0.01841218034 0.04534643432
41.87645 0.00809903198 0.04563903784
42.35858 -4.61436e-05 0.0438214788
42.8407 -0.00024699467 0.03967103844
43.32283 0.01437816052 0.03393274236
43.80495 0.03538983978 0.02848866944
44.28708 0.0558039716 0.0240404186
44.7692 0.0724935771 0.02050038936
45.25132 0.0840874134 0.01824586104
45.73345 0.089952335 0.01834581628
46.21557 0.089759662 0.02194342084
46.69769 0.083834879 0.0293745034
47.17982 0.0739206562 0.0395985304
47.66194 0.0636626684 0.0503402856
48.14407 0.0580803626 0.05880721
48.62619 0.0606662822 0.0627866096
49.10831 0.0696427671 0.06171506
49.59044 0.0786868076 0.0569682212
50.07256 0.0811636417 0.0511757752
50.55469 0.0734789744 0.0468744628
51.03681 0.0563425499 0.0452047376
51.51894 0.0337317475 0.0458479032
52.00106 0.01057765454 0.04798159432
52.48318 -0.00566398947 0.05027121044
52.96531 0.00173425618 0.04997777664
53.44743 0.02236107195 0.0466144118
53.92956 0.043508232 0.0412224912
54.41168 0.0592551421 0.0363956384
54.89381 0.0654127687 0.0354286724
55.37593 0.0612501304 0.0386956284
55.85806 0.0493294134 0.0431197008
56.34018 0.0328036081 0.0457303088
56.8223 0.01379440433 0.04558410604
57.30443 -0.00565357019 0.04348843708
57.78655 -0.00312551188 0.03958224776
58.26868 0.02261516023 0.03611372424
58.7508 0.0488930576 0.0366565188
59.23293 0.0733651919 0.0410357508
59.71505 0.0946398183 0.04690785
60.19717 0.1107083481 0.0512207212
60.6793 0.1192678887 0.0514157776
61.16142 0.1186943139 0.0462044
61.64355 0.1090059154 0.0359534516
62.12567 0.0926999077 0.02255059708
62.6078 0.0757800604 0.00890638276
63.08992 0.0668290235 0.00127308148
63.57204 0.0691677441 0.00660698148
64.05417 0.080238089 0.01147182564
64.53629 0.089838979 0.0155775158
65.01842 0.092946822 0.0214959228
65.50054 0.0896795928 0.02959417824
65.98267 0.0828943536 0.0381189468
66.46479 0.0759327278 0.044796092
66.94691 0.0713105968 0.0475824492
67.42904 0.070096612 0.0448508764
67.91116 0.0717287258 0.0357095904
68.39329 0.0741873439 0.020889033
68.87541 0.0725585994 0.00778391416
69.35754 0.0550085015 0.02059768216
69.83966 0.0310117855 0.0422531032
70.32178 0.00954503451 0.05944723708
70.80391 -0.00467389951 0.06866732972
71.28603 -0.01047804414 0.07005855208
71.76816 -0.01176806702 0.06689601864
72.25028 -0.01332499807 0.06365640204
72.73241 -0.01615879343 0.06319240796
73.21453 -0.01775820866 0.06583689992
73.69666 -0.01678750196 0.07126198112
74.17878 -0.01406714556 0.07916647112
74.6609 -0.00959461571 0.08821158412
75.14303 -0.00404496627 0.09653129244
75.62515 -0.00029440022 0.10341463264
