Delay -5C 15C 35C 55C 70C
-4391.02772 -0.000207 5.6e-05 7.2e-05 8.2e-05 2e-06
-4390.02703 6e-06 1.9e-05 -6.2e-05 2.6e-05 1.9e-05
-4389.02634 -1.2e-05 -5.1e-05 2.8e-05 0.000112 -8.3e-05
-4388.02565 -1.3e-05 6.2e-05 -2.7e-05 6.3e-05 -1e-05
-4387.02496 -0.000126 -8.5e-05 5.6e-05 -5.3e-05 -1e-05
-4386.02427 5.3e-05 -8e-06 -3.8e-05 2.9e-05 -1e-05
-4385.02358 -2.6e-05 -9e-05 0.000109 1.8e-05 -9e-05
-4384.02289 -0.000223 2.4e-05 1.4e-05 2.2e-05 -8.3e-05
-4383.0222 -0.000229 4.3e-05 -1.2e-05 0.000154 3.2e-05
-4382.02151 -1.9e-05 6.6e-05 0.000118 3.5e-05 -2.2e-05
-4381.02082 3.3e-05 5.8e-05 -3.3e-05 3e-05 7.9e-05
-4380.02013 3.2e-05 -7.9e-05 -8.1e-05 8e-06 7.6e-05
-4379.01944 4.5e-05 0.000144 -2.9e-05 7.3e-05 -3.4e-05
-4378.01875 -1.2e-05 9e-06 -3.3e-05 3.4e-05 0.000134
-4377.01806 7.7e-05 4.2e-05 -2.7e-05 -2e-06 -0.000137
-4376.01737 3.1e-05 0 8.4e-05 6.1e-05 9.4e-05
-4375.01668 -3.6e-05 -5.4e-05 0.000116 -3e-06 -2.5e-05
-4374.01599 4.1e-05 -7e-06 -9e-05 -2.7e-05 2.7e-05
-4373.0153 4.4e-05 3.3e-05 -2e-06 5.5e-05 -5.7e-05
-4372.01461 1.1e-05 2.5e-05 4.7e-05 9.4e-05 0.000116
-4371.01392 2.5e-05 0.000101 -8.5e-05 9.7e-05 -4e-06
-4370.01323 -1.3e-05 -3.4e-05 6.6e-05 -4.8e-05 2.6e-05
-4369.01254 -5e-06 -5.1e-05 4.8e-05 5e-06 5.5e-05
-4368.01185 0.000199 4.2e-05 -3.7e-05 8e-06 3.3e-05
-4367.01116 7.1e-05 0.000107 -6.9e-05 4e-05 -2e-06
-4366.01047 1.1e-05 -8.4e-05 7e-05 4.1e-05 -3e-06
-4365.00978 -1.6e-05 -6.6e-05 1e-06 0.000101 -4.5e-05
-4364.00909 5.5e-05 0 -1.6e-05 0.000189 3.8e-05
-4363.0084 3.8e-05 1e-06 4.6e-05 2.9e-05 -3.7e-05
-4362.00771 8.8e-05 7.7e-05 4.2e-05 9e-05 -5.9e-05
-4361.00702 7.8e-05 3.8e-05 3.5e-05 1e-06 7.9e-05
-4360.00633 0.000139 2.4e-05 -5.5e-05 -2.1e-05 6.3e-05
