File: 2mm-swv-100hz
Potential/V, Diff(i/A), For(i/A), Rev(i/A)
0.496, -1.563e-6, 1.708e-6, 3.270e-6
0.492, -1.570e-6, 1.652e-6, 3.222e-6
0.488, -1.574e-6, 1.605e-6, 3.180e-6
0.484, -1.577e-6, 1.567e-6, 3.143e-6
0.480, -1.571e-6, 1.544e-6, 3.114e-6
0.476, -1.573e-6, 1.520e-6, 3.093e-6
0.472, -1.569e-6, 1.499e-6, 3.068e-6
0.468, -1.570e-6, 1.478e-6, 3.048e-6
0.464, -1.567e-6, 1.458e-6, 3.025e-6
0.460, -1.571e-6, 1.436e-6, 3.007e-6
0.456, -1.575e-6, 1.412e-6, 2.988e-6
0.452, -1.588e-6, 1.388e-6, 2.975e-6
0.448, -1.593e-6, 1.364e-6, 2.957e-6
0.444, -1.606e-6, 1.340e-6, 2.946e-6
0.440, -1.616e-6, 1.314e-6, 2.931e-6
0.436, -1.634e-6, 1.287e-6, 2.921e-6
0.432, -1.644e-6, 1.262e-6, 2.906e-6
0.428, -1.666e-6, 1.232e-6, 2.898e-6
0.424, -1.680e-6, 1.204e-6, 2.884e-6
0.420, -1.704e-6, 1.172e-6, 2.876e-6
0.416, -1.726e-6, 1.138e-6, 2.865e-6
0.412, -1.759e-6, 1.102e-6, 2.861e-6
0.408, -1.789e-6, 1.063e-6, 2.852e-6
0.404, -1.828e-6, 1.022e-6, 2.850e-6
0.400, -1.864e-6, 9.786e-7, 2.842e-6
0.396, -1.910e-6, 9.311e-7, 2.841e-6
0.392, -1.954e-6, 8.798e-7, 2.833e-6
0.388, -2.011e-6, 8.234e-7, 2.835e-6
0.384, -2.068e-6, 7.626e-7, 2.831e-6
0.380, -2.136e-6, 6.977e-7, 2.833e-6
0.376, -2.205e-6, 6.274e-7, 2.832e-6
0.372, -2.289e-6, 5.517e-7, 2.841e-6
0.368, -2.371e-6, 4.684e-7, 2.840e-6
0.364, -2.476e-6, 3.748e-7, 2.851e-6
0.360, -2.586e-6, 2.709e-7, 2.857e-6
0.356, -2.715e-6, 1.550e-7, 2.870e-6
0.352, -2.852e-6, 2.729e-8, 2.879e-6
0.348, -3.012e-6, -1.131e-7, 2.898e-6
0.344, -3.179e-6, -2.671e-7, 2.912e-6
0.340, -3.375e-6, -4.370e-7, 2.938e-6
0.336, -3.583e-6, -6.262e-7, 2.956e-6
0.332, -3.820e-6, -8.357e-7, 2.984e-6
0.328, -4.071e-6, -1.066e-6, 3.005e-6
0.324, -4.358e-6, -1.321e-6, 3.037e-6
0.320, -4.667e-6, -1.603e-6, 3.064e-6
0.316, -5.017e-6, -1.915e-6, 3.102e-6
0.312, -5.395e-6, -2.263e-6, 3.132e-6
0.308, -5.817e-6, -2.644e-6, 3.173e-6
0.304, -6.266e-6, -3.062e-6, 3.205e-6
0.300, -6.772e-6, -3.523e-6, 3.248e-6
0.296, -7.311e-6, -4.030e-6, 3.281e-6
0.292, -7.906e-6, -4.585e-6, 3.322e-6
0.288, -8.546e-6, -5.199e-6, 3.347e-6
0.284, -9.246e-6, -5.868e-6, 3.378e-6
0.280, -9.993e-6, -6.600e-6, 3.392e-6
0.276, -1.080e-5, -7.394e-6, 3.409e-6
0.272, -1.166e-5, -8.260e-6, 3.401e-6
0.268, -1.258e-5, -9.192e-6, 3.390e-6
0.264, -1.355e-5, -1.021e-5, 3.349e-6
0.260, -1.460e-5, -1.130e-5, 3.301e-6
0.256, -1.569e-5, -1.248e-5, 3.216e-6
0.252, -1.685e-5, -1.373e-5, 3.115e-6
0.248, -1.805e-5, -1.509e-5, 2.968e-6
0.244, -1.932e-5, -1.652e-5, 2.800e-6
0.240, -2.061e-5, -1.804e-5, 2.572e-6
0.236, -2.195e-5, -1.963e-5, 2.312e-6
0.232, -2.330e-5, -2.131e-5, 1.983e-6
0.228, -2.467e-5, -2.306e-5, 1.611e-6
0.224, -2.605e-5, -2.489e-5, 1.161e-6
0.220, -2.744e-5, -2.677e-5, 6.688e-7
0.216, -2.881e-5, -2.872e-5, 8.925e-8
0.212, -3.017e-5, -3.070e-5, -5.380e-7
0.208, -3.148e-5, -3.274e-5, -1.256e-6
0.204, -3.276e-5, -3.478e-5, -2.023e-6
0.200, -3.395e-5, -3.683e-5, -2.880e-6
0.196, -3.508e-5, -3.885e-5, -3.776e-6
0.192, -3.609e-5, -4.085e-5, -4.763e-6
0.188, -3.701e-5, -4.280e-5, -5.786e-6
0.184, -3.782e-5, -4.470e-5, -6.881e-6
0.180, -3.851e-5, -4.651e-5, -7.997e-6
0.176, -3.905e-5, -4.823e-5, -9.180e-6
0.172, -3.947e-5, -4.984e-5, -1.036e-5
0.168, -3.973e-5, -5.133e-5, -1.160e-5
0.164, -3.984e-5, -5.266e-5, -1.282e-5
0.160, -3.980e-5, -5.386e-5, -1.407e-5
0.156, -3.962e-5, -5.490e-5, -1.528e-5
0.152, -3.929e-5, -5.579e-5, -1.650e-5
0.148, -3.885e-5, -5.651e-5, -1.767e-5
0.144, -3.827e-5, -5.708e-5, -1.881e-5
0.140, -3.758e-5, -5.747e-5, -1.989e-5
0.136, -3.678e-5, -5.772e-5, -2.094e-5
0.132, -3.591e-5, -5.781e-5, -2.190e-5
0.128, -3.494e-5, -5.777e-5, -2.283e-5
0.124, -3.394e-5, -5.759e-5, -2.366e-5
0.120, -3.287e-5, -5.731e-5, -2.444e-5
0.116, -3.177e-5, -5.690e-5, -2.513e-5
0.112, -3.062e-5, -5.641e-5, -2.579e-5
0.108, -2.948e-5, -5.583e-5, -2.634e-5
0.104, -2.832e-5, -5.518e-5, -2.685e-5
0.100, -2.719e-5, -5.446e-5, -2.727e-5
0.096, -2.604e-5, -5.369e-5, -2.765e-5
