File: 2mm-swv-20hz
Potential/V, Diff(i/A), For(i/A), Rev(i/A)
0.496, -5.807e-7, 3.160e-6, 3.741e-6
0.492, -5.772e-7, 3.108e-6, 3.686e-6
0.488, -5.748e-7, 3.060e-6, 3.635e-6
0.484, -5.735e-7, 3.014e-6, 3.588e-6
0.480, -5.714e-7, 2.975e-6, 3.546e-6
0.476, -5.715e-7, 2.936e-6, 3.507e-6
0.472, -5.775e-7, 2.894e-6, 3.471e-6
0.468, -5.781e-7, 2.855e-6, 3.433e-6
0.464, -5.818e-7, 2.815e-6, 3.397e-6
0.460, -5.823e-7, 2.779e-6, 3.361e-6
0.456, -5.880e-7, 2.741e-6, 3.329e-6
0.452, -5.935e-7, 2.704e-6, 3.298e-6
0.448, -6.049e-7, 2.665e-6, 3.269e-6
0.444, -6.105e-7, 2.629e-6, 3.240e-6
0.440, -6.173e-7, 2.595e-6, 3.212e-6
0.436, -6.189e-7, 2.564e-6, 3.183e-6
0.432, -6.249e-7, 2.530e-6, 3.155e-6
0.428, -6.305e-7, 2.496e-6, 3.127e-6
0.424, -6.456e-7, 2.458e-6, 3.103e-6
0.420, -6.603e-7, 2.420e-6, 3.080e-6
0.416, -6.813e-7, 2.380e-6, 3.062e-6
0.412, -7.008e-7, 2.342e-6, 3.043e-6
0.408, -7.253e-7, 2.300e-6, 3.025e-6
0.404, -7.477e-7, 2.259e-6, 3.006e-6
0.400, -7.772e-7, 2.213e-6, 2.990e-6
0.396, -8.047e-7, 2.168e-6, 2.973e-6
0.392, -8.370e-7, 2.122e-6, 2.959e-6
0.388, -8.683e-7, 2.075e-6, 2.943e-6
0.384, -9.073e-7, 2.024e-6, 2.931e-6
0.380, -9.493e-7, 1.969e-6, 2.919e-6
0.376, -1.002e-6, 1.908e-6, 2.910e-6
0.372, -1.057e-6, 1.843e-6, 2.901e-6
0.368, -1.124e-6, 1.772e-6, 2.895e-6
0.364, -1.193e-6, 1.698e-6, 2.891e-6
0.360, -1.274e-6, 1.616e-6, 2.890e-6
0.356, -1.360e-6, 1.530e-6, 2.890e-6
0.352, -1.460e-6, 1.434e-6, 2.894e-6
0.348, -1.570e-6, 1.330e-6, 2.900e-6
0.344, -1.698e-6, 1.212e-6, 2.910e-6
0.340, -1.837e-6, 1.085e-6, 2.922e-6
0.336, -1.999e-6, 9.409e-7, 2.940e-6
0.332, -2.172e-6, 7.875e-7, 2.960e-6
0.328, -2.370e-6, 6.158e-7, 2.986e-6
0.324, -2.588e-6, 4.275e-7, 3.015e-6
0.320, -2.834e-6, 2.170e-7, 3.051e-6
0.316, -3.105e-6, -1.425e-8, 3.090e-6
0.312, -3.417e-6, -2.787e-7, 3.138e-6
0.308, -3.758e-6, -5.668e-7, 3.191e-6
0.304, -4.140e-6, -8.886e-7, 3.252e-6
0.300, -4.559e-6, -1.241e-6, 3.318e-6
0.296, -5.025e-6, -1.633e-6, 3.392e-6
0.292, -5.532e-6, -2.062e-6, 3.470e-6
0.288, -6.094e-6, -2.539e-6, 3.556e-6
0.284, -6.704e-6, -3.059e-6, 3.645e-6
0.280, -7.375e-6, -3.633e-6, 3.741e-6
0.276, -8.096e-6, -4.256e-6, 3.839e-6
0.272, -8.885e-6, -4.941e-6, 3.943e-6
0.268, -9.724e-6, -5.680e-6, 4.043e-6
0.264, -1.063e-5, -6.481e-6, 4.144e-6
0.260, -1.158e-5, -7.341e-6, 4.239e-6
0.256, -1.260e-5, -8.269e-6, 4.330e-6
0.252, -1.366e-5, -9.254e-6, 4.408e-6
0.248, -1.478e-5, -1.031e-5, 4.475e-6
0.244, -1.594e-5, -1.142e-5, 4.521e-6
0.240, -1.713e-5, -1.258e-5, 4.544e-6
0.236, -1.833e-5, -1.379e-5, 4.535e-6
0.232, -1.954e-5, -1.505e-5, 4.497e-6
0.228, -2.075e-5, -1.633e-5, 4.414e-6
0.224, -2.194e-5, -1.765e-5, 4.291e-6
0.220, -2.310e-5, -1.898e-5, 4.118e-6
0.216, -2.421e-5, -2.032e-5, 3.892e-6
0.212, -2.524e-5, -2.164e-5, 3.606e-6
0.208, -2.620e-5, -2.294e-5, 3.267e-6
0.204, -2.705e-5, -2.419e-5, 2.864e-6
0.200, -2.779e-5, -2.538e-5, 2.405e-6
0.196, -2.838e-5, -2.650e-5, 1.885e-6
0.192, -2.884e-5, -2.753e-5, 1.309e-6
0.188, -2.913e-5, -2.845e-5, 6.794e-7
0.184, -2.929e-5, -2.927e-5, 1.414e-8
0.180, -2.928e-5, -2.997e-5, -6.912e-7
0.176, -2.911e-5, -3.054e-5, -1.427e-6
0.172, -2.878e-5, -3.097e-5, -2.191e-6
0.168, -2.831e-5, -3.127e-5, -2.967e-6
0.164, -2.768e-5, -3.143e-5, -3.755e-6
0.160, -2.694e-5, -3.148e-5, -4.535e-6
0.156, -2.608e-5, -3.139e-5, -5.305e-6
0.152, -2.514e-5, -3.119e-5, -6.050e-6
0.148, -2.412e-5, -3.089e-5, -6.769e-6
0.144, -2.305e-5, -3.049e-5, -7.444e-6
0.140, -2.192e-5, -3.001e-5, -8.087e-6
0.136, -2.078e-5, -2.947e-5, -8.686e-6
0.132, -1.962e-5, -2.887e-5, -9.243e-6
0.128, -1.848e-5, -2.823e-5, -9.747e-6
0.124, -1.734e-5, -2.755e-5, -1.020e-5
0.120, -1.625e-5, -2.686e-5, -1.061e-5
0.116, -1.518e-5, -2.615e-5, -1.096e-5
0.112, -1.416e-5, -2.544e-5, -1.128e-5
0.108, -1.318e-5, -2.473e-5, -1.155e-5
0.104, -1.225e-5, -2.403e-5, -1.178e-5
0.100, -1.138e-5, -2.334e-5, -1.197e-5
0.096, -1.056e-5, -2.268e-5, -1.212e-5
0.092, -9.794e-6, -2.203e-5, -1.224e-5
0.088, -9.082e-6, -2.141e-5, -1.233e-5
0.084, -8.418e-6, -2.081e-5, -1.239e-5
0.080, -7.810e-6, -2.024e-5, -1.243e-5
0.076, -7.243e-6, -1.969e-5, -1.244e-5
0.072, -6.722e-6, -1.916e-5, -1.244e-5
0.068, -6.241e-6, -1.866e-5, -1.242e-5
0.064, -5.803e-6, -1.819e-5, -1.238e-5
0.060, -5.396e-6, -1.774e-5, -1.234e-5
0.056, -5.030e-6, -1.731e-5, -1.228e-5
0.052, -4.689e-6, -1.690e-5, -1.222e-5
0.048, -4.378e-6, -1.652e-5, -1.214e-5
0.044, -4.090e-6, -1.615e-5, -1.206e-5
0.040, -3.831e-6, -1.581e-5, -1.198e-5
0.036, -3.590e-6, -1.548e-5, -1.189e-5
0.032, -3.377e-6, -1.517e-5, -1.179e-5
0.028, -3.178e-6, -1.488e-5, -1.170e-5
0.024, -2.998e-6, -1.460e-5, -1.160e-5
0.020, -2.830e-6, -1.433e-5, -1.150e-5
0.016, -2.679e-6, -1.408e-5, -1.140e-5
0.012, -2.534e-6, -1.383e-5, -1.130e-5
0.008, -2.398e-6, -1.360e-5, -1.120e-5
0.004, -2.271e-6, -1.338e-5, -1.111e-5
-0.000, -2.160e-6, -1.317e-5, -1.101e-5
-0.004, -2.057e-6, -1.297e-5, -1.092e-5
-0.008, -1.972e-6, -1.279e-5, -1.081e-5
-0.012, -1.886e-6, -1.260e-5, -1.072e-5
-0.016, -1.805e-6, -1.243e-5, -1.062e-5
-0.020, -1.727e-6, -1.226e-5, -1.053e-5
-0.024, -1.659e-6, -1.210e-5, -1.044e-5
-0.028, -1.595e-6, -1.194e-5, -1.035e-5
-0.032, -1.540e-6, -1.180e-5, -1.026e-5
-0.036, -1.482e-6, -1.165e-5, -1.017e-5
-0.040, -1.430e-6, -1.151e-5, -1.008e-5
-0.044, -1.380e-6, -1.138e-5, -9.999e-6
-0.048, -1.343e-6, -1.126e-5, -9.912e-6
-0.052, -1.306e-6, -1.114e-5, -9.830e-6
-0.056, -1.270e-6, -1.102e-5, -9.751e-6
-0.060, -1.231e-6, -1.091e-5, -9.675e-6
-0.064, -1.198e-6, -1.079e-5, -9.597e-6
-0.068, -1.164e-6, -1.069e-5, -9.522e-6
-0.072, -1.142e-6, -1.059e-5, -9.443e-6
