File: 2mm-swv-10hz
Potential/V, Diff(i/A), For(i/A), Rev(i/A)
0.048, -2.590e-6, -1.139e-5, -8.803e-6
0.044, -2.406e-6, -1.115e-5, -8.743e-6
0.040, -2.242e-6, -1.092e-5, -8.678e-6
0.036, -2.090e-6, -1.070e-5, -8.612e-6
0.032, -1.951e-6, -1.049e-5, -8.543e-6
0.028, -1.824e-6, -1.030e-5, -8.472e-6
0.024, -1.712e-6, -1.011e-5, -8.398e-6
0.020, -1.610e-6, -9.935e-6, -8.325e-6
0.016, -1.515e-6, -9.769e-6, -8.254e-6
0.012, -1.427e-6, -9.609e-6, -8.183e-6
0.008, -1.347e-6, -9.459e-6, -8.112e-6
0.004, -1.276e-6, -9.317e-6, -8.041e-6
-0.000, -1.215e-6, -9.182e-6, -7.968e-6
-0.004, -1.160e-6, -9.055e-6, -7.895e-6
-0.008, -1.107e-6, -8.933e-6, -7.825e-6
-0.012, -1.057e-6, -8.815e-6, -7.758e-6
-0.016, -1.008e-6, -8.701e-6, -7.692e-6
-0.020, -9.667e-7, -8.592e-6, -7.625e-6
-0.024, -9.272e-7, -8.486e-6, -7.559e-6
-0.028, -8.908e-7, -8.385e-6, -7.494e-6
-0.032, -8.579e-7, -8.289e-6, -7.431e-6
-0.036, -8.271e-7, -8.198e-6, -7.371e-6
-0.040, -7.967e-7, -8.110e-6, -7.313e-6
-0.044, -7.660e-7, -8.025e-6, -7.259e-6
-0.048, -7.349e-7, -7.941e-6, -7.206e-6
-0.052, -7.077e-7, -7.860e-6, -7.152e-6
-0.056, -6.886e-7, -7.785e-6, -7.096e-6
-0.060, -6.734e-7, -7.712e-6, -7.039e-6
-0.064, -6.575e-7, -7.640e-6, -6.982e-6
-0.068, -6.397e-7, -7.570e-6, -6.931e-6
-0.072, -6.237e-7, -7.503e-6, -6.879e-6
-0.076, -6.115e-7, -7.438e-6, -6.827e-6
-0.080, -5.996e-7, -7.377e-6, -6.778e-6
-0.084, -5.874e-7, -7.319e-6, -6.732e-6
-0.088, -5.787e-7, -7.265e-6, -6.686e-6
-0.092, -5.720e-7, -7.213e-6, -6.641e-6
-0.096, -5.661e-7, -7.161e-6, -6.595e-6
-0.100, -5.586e-7, -7.108e-6, -6.549e-6
-0.104, -5.458e-7, -7.054e-6, -6.508e-6
-0.108, -5.346e-7, -7.001e-6, -6.466e-6
-0.112, -5.285e-7, -6.952e-6, -6.424e-6
-0.116, -5.247e-7, -6.905e-6, -6.381e-6
-0.120, -5.222e-7, -6.858e-6, -6.336e-6
-0.124, -5.177e-7, -6.811e-6, -6.294e-6
-0.128, -5.102e-7, -6.769e-6, -6.258e-6
-0.132, -5.039e-7, -6.728e-6, -6.225e-6
-0.136, -4.990e-7, -6.689e-6, -6.190e-6
-0.140, -4.967e-7, -6.650e-6, -6.153e-6
-0.144, -4.965e-7, -6.610e-6, -6.114e-6
-0.148, -4.969e-7, -6.571e-6, -6.074e-6
-0.152, -4.960e-7, -6.535e-6, -6.039e-6
-0.156, -4.947e-7, -6.501e-6, -6.007e-6
-0.160, -4.940e-7, -6.468e-6, -5.974e-6
-0.164, -4.941e-7, -6.435e-6, -5.940e-6
-0.168, -4.939e-7, -6.401e-6, -5.907e-6
-0.172, -4.936e-7, -6.366e-6, -5.873e-6
-0.176, -4.928e-7, -6.333e-6, -5.840e-6
-0.180, -4.917e-7, -6.301e-6, -5.810e-6
-0.184, -4.920e-7, -6.273e-6, -5.781e-6
-0.188, -4.933e-7, -6.248e-6, -5.755e-6
-0.192, -4.951e-7, -6.224e-6, -5.729e-6
-0.196, -4.975e-7, -6.203e-6, -5.705e-6
-0.200, -5.006e-7, -6.183e-6, -5.683e-6
