5 Hz
Potential/V, Diff(i/A), For(i/A), Rev(i/A)
0.044, -1.568e-6, -8.493e-6, -6.925e-6
0.040, -1.452e-6, -8.329e-6, -6.877e-6
0.036, -1.347e-6, -8.173e-6, -6.826e-6
0.032, -1.251e-6, -8.027e-6, -6.776e-6
0.028, -1.166e-6, -7.890e-6, -6.724e-6
0.024, -1.085e-6, -7.758e-6, -6.673e-6
0.020, -1.015e-6, -7.635e-6, -6.620e-6
0.016, -9.519e-7, -7.518e-6, -6.566e-6
0.012, -8.962e-7, -7.409e-6, -6.513e-6
0.008, -8.485e-7, -7.309e-6, -6.461e-6
0.004, -8.083e-7, -7.214e-6, -6.406e-6
-0.000, -7.720e-7, -7.122e-6, -6.350e-6
-0.004, -7.344e-7, -7.032e-6, -6.297e-6
-0.008, -6.938e-7, -6.942e-6, -6.248e-6
-0.012, -6.577e-7, -6.858e-6, -6.201e-6
-0.016, -6.282e-7, -6.781e-6, -6.152e-6
-0.020, -6.039e-7, -6.705e-6, -6.101e-6
-0.024, -5.831e-7, -6.633e-6, -6.050e-6
-0.028, -5.621e-7, -6.565e-6, -6.003e-6
-0.032, -5.414e-7, -6.498e-6, -5.956e-6
-0.036, -5.222e-7, -6.432e-6, -5.910e-6
-0.040, -5.036e-7, -6.367e-6, -5.863e-6
-0.044, -4.902e-7, -6.307e-6, -5.816e-6
-0.048, -4.724e-7, -6.250e-6, -5.778e-6
-0.052, -4.566e-7, -6.197e-6, -5.740e-6
-0.056, -4.420e-7, -6.143e-6, -5.701e-6
-0.060, -4.269e-7, -6.089e-6, -5.662e-6
-0.064, -4.169e-7, -6.036e-6, -5.619e-6
-0.068, -4.118e-7, -5.987e-6, -5.575e-6
-0.072, -4.019e-7, -5.939e-6, -5.537e-6
-0.076, -3.913e-7, -5.892e-6, -5.500e-6
-0.080, -3.801e-7, -5.844e-6, -5.464e-6
-0.084, -3.717e-7, -5.801e-6, -5.429e-6
-0.088, -3.707e-7, -5.764e-6, -5.393e-6
-0.092, -3.706e-7, -5.726e-6, -5.356e-6
-0.096, -3.685e-7, -5.689e-6, -5.320e-6
-0.100, -3.616e-7, -5.650e-6, -5.289e-6
-0.104, -3.470e-7, -5.609e-6, -5.262e-6
-0.108, -3.324e-7, -5.569e-6, -5.236e-6
-0.112, -3.241e-7, -5.533e-6, -5.209e-6
-0.116, -3.206e-7, -5.499e-6, -5.178e-6
-0.120, -3.214e-7, -5.466e-6, -5.145e-6
-0.124, -3.229e-7, -5.434e-6, -5.111e-6
-0.128, -3.217e-7, -5.402e-6, -5.080e-6
-0.132, -3.184e-7, -5.369e-6, -5.051e-6
-0.136, -3.135e-7, -5.337e-6, -5.024e-6
-0.140, -3.080e-7, -5.307e-6, -4.999e-6
-0.144, -3.055e-7, -5.280e-6, -4.975e-6
-0.148, -3.091e-7, -5.258e-6, -4.948e-6
-0.152, -3.167e-7, -5.238e-6, -4.921e-6
-0.156, -3.221e-7, -5.216e-6, -4.894e-6
-0.160, -3.219e-7, -5.191e-6, -4.869e-6
