File: 2mm-swv-50hz
Potential/V, Diff(i/A), For(i/A), Rev(i/A)
0.496, -1.051e-6, 2.259e-6, 3.310e-6
0.492, -1.056e-6, 2.212e-6, 3.269e-6
0.488, -1.060e-6, 2.172e-6, 3.231e-6
0.484, -1.060e-6, 2.137e-6, 3.198e-6
0.480, -1.055e-6, 2.114e-6, 3.169e-6
0.476, -1.053e-6, 2.089e-6, 3.142e-6
0.472, -1.053e-6, 2.066e-6, 3.118e-6
0.468, -1.053e-6, 2.043e-6, 3.096e-6
0.464, -1.055e-6, 2.020e-6, 3.075e-6
0.460, -1.059e-6, 1.997e-6, 3.056e-6
0.456, -1.064e-6, 1.973e-6, 3.037e-6
0.452, -1.073e-6, 1.948e-6, 3.021e-6
0.448, -1.083e-6, 1.923e-6, 3.006e-6
0.444, -1.093e-6, 1.898e-6, 2.991e-6
0.440, -1.104e-6, 1.871e-6, 2.976e-6
0.436, -1.117e-6, 1.844e-6, 2.961e-6
0.432, -1.131e-6, 1.816e-6, 2.947e-6
0.428, -1.147e-6, 1.787e-6, 2.934e-6
0.424, -1.164e-6, 1.758e-6, 2.922e-6
0.420, -1.184e-6, 1.726e-6, 2.910e-6
0.416, -1.207e-6, 1.693e-6, 2.899e-6
0.412, -1.232e-6, 1.658e-6, 2.890e-6
0.408, -1.259e-6, 1.622e-6, 2.882e-6
0.404, -1.289e-6, 1.585e-6, 2.874e-6
0.400, -1.322e-6, 1.545e-6, 2.867e-6
0.396, -1.359e-6, 1.502e-6, 2.861e-6
0.392, -1.400e-6, 1.456e-6, 2.856e-6
0.388, -1.448e-6, 1.405e-6, 2.853e-6
0.384, -1.500e-6, 1.350e-6, 2.850e-6
0.380, -1.557e-6, 1.290e-6, 2.848e-6
0.376, -1.623e-6, 1.225e-6, 2.848e-6
0.372, -1.696e-6, 1.155e-6, 2.851e-6
0.368, -1.777e-6, 1.079e-6, 2.855e-6
0.364, -1.870e-6, 9.929e-7, 2.863e-6
0.360, -1.974e-6, 8.982e-7, 2.872e-6
0.356, -2.089e-6, 7.939e-7, 2.883e-6
0.352, -2.215e-6, 6.809e-7, 2.896e-6
0.348, -2.355e-6, 5.584e-7, 2.913e-6
0.344, -2.508e-6, 4.241e-7, 2.932e-6
0.340, -2.681e-6, 2.731e-7, 2.954e-6
0.336, -2.876e-6, 1.038e-7, 2.980e-6
0.332, -3.094e-6, -8.369e-8, 3.010e-6
0.328, -3.335e-6, -2.919e-7, 3.043e-6
0.324, -3.604e-6, -5.225e-7, 3.082e-6
0.320, -3.901e-6, -7.776e-7, 3.123e-6
0.316, -4.226e-6, -1.058e-6, 3.168e-6
0.312, -4.587e-6, -1.369e-6, 3.218e-6
0.308, -4.984e-6, -1.711e-6, 3.273e-6
0.304, -5.423e-6, -2.093e-6, 3.330e-6
0.300, -5.907e-6, -2.514e-6, 3.393e-6
0.296, -6.434e-6, -2.977e-6, 3.458e-6
0.292, -7.009e-6, -3.484e-6, 3.525e-6
0.288, -7.635e-6, -4.042e-6, 3.593e-6
0.284, -8.314e-6, -4.653e-6, 3.661e-6
0.280, -9.052e-6, -5.325e-6, 3.727e-6
0.276, -9.844e-6, -6.053e-6, 3.791e-6
0.272, -1.070e-5, -6.847e-6, 3.850e-6
0.268, -1.161e-5, -7.705e-6, 3.902e-6
0.264, -1.258e-5, -8.634e-6, 3.942e-6
0.260, -1.361e-5, -9.637e-6, 3.970e-6
0.256, -1.469e-5, -1.072e-5, 3.979e-6
0.252, -1.583e-5, -1.187e-5, 3.967e-6
0.248, -1.703e-5, -1.310e-5, 3.932e-6
0.244, -1.826e-5, -1.440e-5, 3.868e-6
0.240, -1.954e-5, -1.577e-5, 3.765e-6
0.236, -2.083e-5, -1.721e-5, 3.624e-6
0.232, -2.215e-5, -1.872e-5, 3.434e-6
0.228, -2.347e-5, -2.027e-5, 3.196e-6
0.224, -2.479e-5, -2.188e-5, 2.903e-6
0.220, -2.609e-5, -2.353e-5, 2.559e-6
0.216, -2.736e-5, -2.521e-5, 2.147e-6
0.212, -2.859e-5, -2.692e-5, 1.671e-6
0.208, -2.976e-5, -2.863e-5, 1.130e-6
0.204, -3.085e-5, -3.032e-5, 5.232e-7
0.200, -3.185e-5, -3.199e-5, -1.473e-7
0.196, -3.274e-5, -3.362e-5, -8.726e-7
0.192, -3.351e-5, -3.517e-5, -1.664e-6
0.188, -3.415e-5, -3.665e-5, -2.506e-6
0.184, -3.466e-5, -3.805e-5, -3.388e-6
0.180, -3.502e-5, -3.933e-5, -4.310e-6
0.176, -3.523e-5, -4.050e-5, -5.267e-6
0.172, -3.529e-5, -4.153e-5, -6.247e-6
0.168, -3.518e-5, -4.243e-5, -7.247e-6
0.164, -3.491e-5, -4.317e-5, -8.255e-6
0.160, -3.450e-5, -4.376e-5, -9.260e-6
0.156, -3.396e-5, -4.420e-5, -1.025e-5
0.152, -3.328e-5, -4.449e-5, -1.121e-5
0.148, -3.249e-5, -4.464e-5, -1.214e-5
0.144, -3.162e-5, -4.464e-5, -1.303e-5
0.140, -3.064e-5, -4.451e-5, -1.387e-5
0.136, -2.960e-5, -4.427e-5, -1.467e-5
0.132, -2.850e-5, -4.391e-5, -1.541e-5
0.128, -2.736e-5, -4.345e-5, -1.609e-5
0.124, -2.619e-5, -4.291e-5, -1.672e-5
0.120, -2.502e-5, -4.230e-5, -1.728e-5
0.116, -2.384e-5, -4.162e-5, -1.778e-5
0.112, -2.267e-5, -4.090e-5, -1.823e-5
0.108, -2.152e-5, -4.014e-5, -1.862e-5
0.104, -2.040e-5, -3.936e-5, -1.896e-5
0.100, -1.931e-5, -3.855e-5, -1.924e-5
0.096, -1.826e-5, -3.773e-5, -1.947e-5
0.092, -1.725e-5, -3.691e-5, -1.966e-5
0.088, -1.628e-5, -3.609e-5, -1.981e-5
0.084, -1.536e-5, -3.528e-5, -1.992e-5
0.080, -1.449e-5, -3.449e-5, -1.999e-5
