4 mM/l
Potential/V, Current/A
0.500, 2.550e-7
0.499, 2.412e-7
0.498, 2.296e-7
0.497, 2.202e-7
0.496, 2.138e-7
0.495, 2.089e-7
0.494, 2.044e-7
0.493, 1.997e-7
0.492, 1.951e-7
0.491, 1.908e-7
0.490, 1.866e-7
0.489, 1.826e-7
0.488, 1.789e-7
0.487, 1.754e-7
0.486, 1.721e-7
0.485, 1.691e-7
0.484, 1.665e-7
0.483, 1.640e-7
0.482, 1.616e-7
0.481, 1.593e-7
0.480, 1.570e-7
0.479, 1.550e-7
0.478, 1.531e-7
0.477, 1.514e-7
0.476, 1.499e-7
0.475, 1.484e-7
0.474, 1.470e-7
0.473, 1.458e-7
0.472, 1.446e-7
0.471, 1.435e-7
0.470, 1.424e-7
0.469, 1.413e-7
0.468, 1.404e-7
0.467, 1.395e-7
0.466, 1.386e-7
0.465, 1.377e-7
0.464, 1.370e-7
0.463, 1.362e-7
0.462, 1.355e-7
0.461, 1.348e-7
0.460, 1.340e-7
0.459, 1.332e-7
0.458, 1.325e-7
0.457, 1.317e-7
0.456, 1.310e-7
0.455, 1.304e-7
0.454, 1.297e-7
0.453, 1.289e-7
0.452, 1.281e-7
0.451, 1.273e-7
0.450, 1.267e-7
0.449, 1.260e-7
0.448, 1.253e-7
0.447, 1.244e-7
0.446, 1.236e-7
0.445, 1.227e-7
0.444, 1.220e-7
0.443, 1.212e-7
0.442, 1.203e-7
0.441, 1.195e-7
0.440, 1.186e-7
0.439, 1.179e-7
0.438, 1.171e-7
0.437, 1.162e-7
0.436, 1.152e-7
0.435, 1.141e-7
0.434, 1.131e-7
0.433, 1.122e-7
0.432, 1.113e-7
0.431, 1.105e-7
0.430, 1.097e-7
0.429, 1.089e-7
0.428, 1.079e-7
0.427, 1.068e-7
0.426, 1.056e-7
0.425, 1.045e-7
0.424, 1.035e-7
0.423, 1.028e-7
0.422, 1.020e-7
0.421, 1.011e-7
0.420, 1.001e-7
0.419, 9.913e-8
0.418, 9.807e-8
0.417, 9.709e-8
0.416, 9.611e-8
0.415, 9.505e-8
0.414, 9.393e-8
0.413, 9.279e-8
0.412, 9.160e-8
0.411, 9.037e-8
0.410, 8.907e-8
0.409, 8.775e-8
0.408, 8.647e-8
0.407, 8.522e-8
0.406, 8.404e-8
0.405, 8.281e-8
0.404, 8.157e-8
0.403, 8.032e-8
0.402, 7.904e-8
0.401, 7.774e-8
0.400, 7.642e-8
0.399, 7.493e-8
0.398, 7.339e-8
0.397, 7.183e-8
0.396, 7.024e-8
0.395, 6.864e-8
0.394, 6.708e-8
0.393, 6.538e-8
0.392, 6.365e-8
0.391, 6.189e-8
0.390, 6.015e-8
0.389, 5.833e-8
0.388, 5.648e-8
0.387, 5.440e-8
0.386, 5.218e-8
0.385, 4.984e-8
0.384, 4.765e-8
0.383, 4.559e-8
0.382, 4.357e-8
0.381, 4.150e-8
0.380, 3.937e-8
0.379, 3.711e-8
0.378, 3.493e-8
0.377, 3.280e-8
0.376, 3.059e-8
0.375, 2.842e-8
0.374, 2.622e-8
0.373, 2.396e-8
0.372, 2.172e-8
0.371, 1.948e-8
0.370, 1.714e-8
0.369, 1.485e-8
0.368, 1.242e-8
0.367, 9.879e-9
0.366, 7.261e-9
0.365, 4.559e-9
0.364, 1.730e-9
0.363, -1.182e-9
0.362, -4.364e-9
0.361, -7.970e-9
0.360, -1.205e-8
0.359, -1.660e-8
0.358, -2.141e-8
0.357, -2.632e-8
0.356, -3.137e-8
0.355, -3.675e-8
0.354, -4.248e-8
0.353, -4.859e-8
0.352, -5.492e-8
0.351, -6.140e-8
0.350, -6.796e-8
0.349, -7.451e-8
0.348, -8.079e-8
0.347, -8.676e-8
0.346, -9.237e-8
0.345, -9.758e-8
0.344, -1.025e-7
0.343, -1.071e-7
0.342, -1.115e-7
0.341, -1.161e-7
0.340, -1.213e-7
0.339, -1.272e-7
0.338, -1.341e-7
0.337, -1.416e-7
0.336, -1.497e-7
0.335, -1.585e-7
0.334, -1.680e-7
0.333, -1.781e-7
0.332, -1.885e-7
0.331, -1.987e-7
0.330, -2.084e-7
0.329, -2.175e-7
0.328, -2.260e-7
0.327, -2.347e-7
0.326, -2.443e-7
0.325, -2.557e-7
0.324, -2.692e-7
0.323, -2.848e-7
0.322, -3.013e-7
0.321, -3.174e-7
0.320, -3.315e-7
