10 mM/l
Potential/V, Current/A
0.500, 3.196e-6
0.499, 3.152e-6
0.498, 3.116e-6
0.497, 3.088e-6
0.496, 3.070e-6
0.495, 3.057e-6
0.494, 3.045e-6
0.493, 3.030e-6
0.492, 3.012e-6
0.491, 2.994e-6
0.490, 2.977e-6
0.489, 2.961e-6
0.488, 2.947e-6
0.487, 2.932e-6
0.486, 2.918e-6
0.485, 2.902e-6
0.484, 2.886e-6
0.483, 2.870e-6
0.482, 2.855e-6
0.481, 2.841e-6
0.480, 2.829e-6
0.479, 2.817e-6
0.478, 2.805e-6
0.477, 2.792e-6
0.476, 2.777e-6
0.475, 2.762e-6
0.474, 2.747e-6
0.473, 2.733e-6
0.472, 2.721e-6
0.471, 2.710e-6
0.470, 2.699e-6
0.469, 2.689e-6
0.468, 2.677e-6
0.467, 2.664e-6
0.466, 2.649e-6
0.465, 2.634e-6
0.464, 2.620e-6
0.463, 2.607e-6
0.462, 2.596e-6
0.461, 2.588e-6
0.460, 2.582e-6
0.459, 2.576e-6
0.458, 2.570e-6
0.457, 2.561e-6
0.456, 2.551e-6
0.455, 2.540e-6
0.454, 2.528e-6
0.453, 2.516e-6
0.452, 2.504e-6
0.451, 2.492e-6
0.450, 2.482e-6
0.449, 2.472e-6
0.448, 2.462e-6
0.447, 2.453e-6
0.446, 2.444e-6
0.445, 2.434e-6
0.444, 2.424e-6
0.443, 2.413e-6
0.442, 2.401e-6
0.441, 2.390e-6
0.440, 2.378e-6
0.439, 2.366e-6
0.438, 2.356e-6
0.437, 2.346e-6
0.436, 2.337e-6
0.435, 2.329e-6
0.434, 2.320e-6
0.433, 2.311e-6
0.432, 2.302e-6
0.431, 2.292e-6
0.430, 2.282e-6
0.429, 2.271e-6
0.428, 2.260e-6
0.427, 2.249e-6
0.426, 2.239e-6
0.425, 2.229e-6
0.424, 2.221e-6
0.423, 2.213e-6
0.422, 2.205e-6
0.421, 2.196e-6
0.420, 2.186e-6
0.419, 2.175e-6
0.418, 2.162e-6
0.417, 2.149e-6
0.416, 2.135e-6
0.415, 2.123e-6
0.414, 2.113e-6
0.413, 2.104e-6
0.412, 2.097e-6
0.411, 2.091e-6
0.410, 2.085e-6
0.409, 2.078e-6
0.408, 2.070e-6
0.407, 2.060e-6
0.406, 2.050e-6
0.405, 2.040e-6
0.404, 2.028e-6
0.403, 2.017e-6
0.402, 2.005e-6
0.401, 1.994e-6
0.400, 1.984e-6
0.399, 1.974e-6
0.398, 1.964e-6
0.397, 1.953e-6
0.396, 1.940e-6
0.395, 1.927e-6
0.394, 1.912e-6
0.393, 1.898e-6
0.392, 1.884e-6
0.391, 1.872e-6
0.390, 1.861e-6
0.389, 1.851e-6
0.388, 1.841e-6
0.387, 1.831e-6
0.386, 1.819e-6
0.385, 1.806e-6
0.384, 1.791e-6
0.383, 1.775e-6
0.382, 1.760e-6
0.381, 1.745e-6
0.380, 1.732e-6
0.379, 1.719e-6
0.378, 1.705e-6
0.377, 1.689e-6
0.376, 1.670e-6
0.375, 1.651e-6
0.374, 1.633e-6
0.373, 1.618e-6
0.372, 1.605e-6
0.371, 1.593e-6
0.370, 1.578e-6
0.369, 1.561e-6
0.368, 1.542e-6
0.367, 1.522e-6
0.366, 1.503e-6
0.365, 1.485e-6
0.364, 1.466e-6
0.363, 1.445e-6
0.362, 1.423e-6
0.361, 1.399e-6
0.360, 1.377e-6
0.359, 1.356e-6
0.358, 1.334e-6
0.357, 1.312e-6
0.356, 1.288e-6
0.355, 1.263e-6
0.354, 1.236e-6
0.353, 1.207e-6
0.352, 1.177e-6
0.351, 1.147e-6
0.350, 1.120e-6
0.349, 1.094e-6
0.348, 1.067e-6
0.347, 1.037e-6
0.346, 1.005e-6
0.345, 9.703e-7
0.344, 9.353e-7
0.343, 9.004e-7
0.342, 8.657e-7
0.341, 8.289e-7
0.340, 7.881e-7
0.339, 7.450e-7
0.338, 7.011e-7
0.337, 6.592e-7
0.336, 6.211e-7
0.335, 5.828e-7
0.334, 5.411e-7
0.333, 4.955e-7
0.332, 4.467e-7
0.331, 3.955e-7
0.330, 3.434e-7
0.329, 2.891e-7
0.328, 2.337e-7
0.327, 1.772e-7
0.326, 1.207e-7
0.325, 6.232e-8
0.324, 1.353e-9
0.323, -6.336e-8
0.322, -1.303e-7
0.321, -1.993e-7
0.320, -2.691e-7
0.319, -3.406e-7
0.318, -4.134e-7
0.317, -4.894e-7
0.316, -5.684e-7
0.315, -6.506e-7
0.314, -7.357e-7
0.313, -8.226e-7
0.312, -9.108e-7
0.311, -1.001e-6
0.310, -1.095e-6
0.309, -1.191e-6
0.308, -1.292e-6
0.307, -1.396e-6
0.306, -1.504e-6
0.305, -1.615e-6
0.304, -1.730e-6
0.303, -1.847e-6
0.302, -1.967e-6
0.301, -2.091e-6
0.300, -2.219e-6
0.299, -2.351e-6
0.298, -2.488e-6
0.297, -2.629e-6
0.296, -2.776e-6
0.295, -2.928e-6
0.294, -3.083e-6
0.293, -3.242e-6
0.292, -3.405e-6
0.291, -3.573e-6
0.290, -3.747e-6
0.289, -3.926e-6
0.288, -4.110e-6
0.287, -4.300e-6
0.286, -4.496e-6
0.285, -4.699e-6
0.284, -4.909e-6
0.283, -5.125e-6
0.282, -5.347e-6
0.281, -5.577e-6
0.280, -5.812e-6
0.279, -6.055e-6
0.278, -6.304e-6
0.277, -6.558e-6
0.276, -6.817e-6
0.275, -7.081e-6
0.274, -7.352e-6
0.273, -7.633e-6
0.272, -7.924e-6
0.271, -8.226e-6
0.270, -8.538e-6
0.269, -8.859e-6
0.268, -9.187e-6
0.267, -9.524e-6
0.266, -9.870e-6
0.265, -1.022e-5
0.264, -1.058e-5
0.263, -1.095e-5
0.262, -1.133e-5
0.261, -1.172e-5
0.260, -1.212e-5
0.259, -1.253e-5
0.258, -1.295e-5
0.257, -1.338e-5
0.256, -1.383e-5
0.255, -1.429e-5
0.254, -1.476e-5
0.253, -1.523e-5
0.252, -1.572e-5
0.251, -1.621e-5
0.250, -1.672e-5
0.249, -1.723e-5
0.248, -1.776e-5
0.247, -1.830e-5
0.246, -1.886e-5
0.245, -1.943e-5
0.244, -2.001e-5
0.243, -2.060e-5
0.242, -2.121e-5
0.241, -2.182e-5
0.240, -2.244e-5
0.239, -2.308e-5
0.238, -2.373e-5
0.237, -2.440e-5
0.236, -2.507e-5
0.235, -2.576e-5
0.234, -2.645e-5
0.233, -2.716e-5
0.232, -2.788e-5
0.231, -2.862e-5
0.230, -2.938e-5
0.229, -3.015e-5
0.228, -3.092e-5
0.227, -3.170e-5
0.226, -3.248e-5
0.225, -3.328e-5
0.224, -3.409e-5
0.223, -3.490e-5
0.222, -3.574e-5
0.221, -3.658e-5
0.220, -3.743e-5
0.219, -3.830e-5
0.218, -3.917e-5
0.217, -4.006e-5
0.216, -4.095e-5
0.215, -4.185e-5
0.214, -4.275e-5
0.213, -4.366e-5
0.212, -4.457e-5
0.211, -4.549e-5
0.210, -4.641e-5
0.209, -4.734e-5
0.208, -4.828e-5
0.207, -4.923e-5
0.206, -5.017e-5
0.205, -5.111e-5
0.204, -5.205e-5
0.203, -5.299e-5
0.202, -5.394e-5
0.201, -5.490e-5
0.200, -5.586e-5
0.199, -5.682e-5
0.198, -5.777e-5
0.197, -5.873e-5
0.196, -5.968e-5
0.195, -6.063e-5
0.194, -6.159e-5
0.193, -6.254e-5
0.192, -6.349e-5
0.191, -6.443e-5
0.190, -6.537e-5
0.189, -6.630e-5
0.188, -6.721e-5
0.187, -6.811e-5
0.186, -6.900e-5
0.185, -6.988e-5
0.184, -7.076e-5
0.183, -7.163e-5
0.182, -7.249e-5
0.181, -7.334e-5
0.180, -7.419e-5
0.179, -7.504e-5
0.178, -7.586e-5
0.177, -7.667e-5
0.176, -7.745e-5
0.175, -7.821e-5
0.174, -7.895e-5
0.173, -7.968e-5
0.172, -8.039e-5
0.171, -8.109e-5
0.170, -8.178e-5
0.169, -8.245e-5
0.168, -8.310e-5
0.167, -8.374e-5
0.166, -8.435e-5
0.165, -8.495e-5
0.164, -8.553e-5
0.163, -8.608e-5
0.162, -8.661e-5
0.161, -8.713e-5
0.160, -8.762e-5
0.159, -8.809e-5
0.158, -8.854e-5
0.157, -8.897e-5
0.156, -8.939e-5
0.155, -8.979e-5
0.154, -9.017e-5
0.153, -9.054e-5
0.152, -9.088e-5
0.151, -9.119e-5
0.150, -9.148e-5
0.149, -9.174e-5
0.148, -9.198e-5
0.147, -9.220e-5
0.146, -9.241e-5
0.145, -9.260e-5
0.144, -9.278e-5
0.143, -9.294e-5
0.142, -9.308e-5
