8 mM/l
Potential/V, Current/A
0.500, 2.624e-7
0.499, 2.434e-7
0.498, 2.276e-7
0.497, 2.149e-7
0.496, 2.064e-7
0.495, 2.001e-7
0.494, 1.946e-7
0.493, 1.891e-7
0.492, 1.840e-7
0.491, 1.792e-7
0.490, 1.747e-7
0.489, 1.703e-7
0.488, 1.664e-7
0.487, 1.629e-7
0.486, 1.598e-7
0.485, 1.571e-7
0.484, 1.548e-7
0.483, 1.525e-7
0.482, 1.504e-7
0.481, 1.483e-7
0.480, 1.463e-7
0.479, 1.444e-7
0.478, 1.427e-7
0.477, 1.414e-7
0.476, 1.402e-7
0.475, 1.391e-7
0.474, 1.380e-7
0.473, 1.369e-7
0.472, 1.358e-7
0.471, 1.348e-7
0.470, 1.338e-7
0.469, 1.328e-7
0.468, 1.318e-7
0.467, 1.308e-7
0.466, 1.297e-7
0.465, 1.287e-7
0.464, 1.276e-7
0.463, 1.264e-7
0.462, 1.252e-7
0.461, 1.239e-7
0.460, 1.227e-7
0.459, 1.217e-7
0.458, 1.207e-7
0.457, 1.197e-7
0.456, 1.187e-7
0.455, 1.175e-7
0.454, 1.164e-7
0.453, 1.151e-7
0.452, 1.137e-7
0.451, 1.124e-7
0.450, 1.110e-7
0.449, 1.095e-7
0.448, 1.082e-7
0.447, 1.068e-7
0.446, 1.054e-7
0.445, 1.042e-7
0.444, 1.030e-7
0.443, 1.017e-7
0.442, 1.005e-7
0.441, 9.923e-8
0.440, 9.781e-8
0.439, 9.638e-8
0.438, 9.485e-8
0.437, 9.320e-8
0.436, 9.148e-8
0.435, 8.982e-8
0.434, 8.828e-8
0.433, 8.691e-8
0.432, 8.561e-8
0.431, 8.424e-8
0.430, 8.277e-8
0.429, 8.131e-8
0.428, 7.974e-8
0.427, 7.805e-8
0.426, 7.632e-8
0.425, 7.453e-8
0.424, 7.268e-8
0.423, 7.089e-8
0.422, 6.904e-8
0.421, 6.708e-8
0.420, 6.511e-8
0.419, 6.326e-8
0.418, 6.144e-8
0.417, 5.963e-8
0.416, 5.768e-8
0.415, 5.539e-8
0.414, 5.292e-8
0.413, 5.043e-8
0.412, 4.787e-8
0.411, 4.527e-8
0.410, 4.265e-8
0.409, 4.009e-8
0.408, 3.776e-8
0.407, 3.559e-8
0.406, 3.350e-8
0.405, 3.142e-8
0.404, 2.930e-8
0.403, 2.715e-8
0.402, 2.489e-8
0.401, 2.252e-8
0.400, 2.011e-8
0.399, 1.765e-8
0.398, 1.522e-8
0.397, 1.277e-8
0.396, 1.026e-8
0.395, 7.616e-9
0.394, 4.881e-9
0.393, 1.889e-9
0.392, -1.366e-9
0.391, -4.856e-9
0.390, -8.575e-9
0.389, -1.256e-8
0.388, -1.675e-8
0.387, -2.139e-8
0.386, -2.658e-8
0.385, -3.226e-8
0.384, -3.844e-8
0.383, -4.488e-8
0.382, -5.152e-8
0.381, -5.822e-8
0.380, -6.492e-8
0.379, -7.150e-8
0.378, -7.798e-8
0.377, -8.415e-8
0.376, -9.009e-8
0.375, -9.553e-8
0.374, -1.005e-7
0.373, -1.052e-7
0.372, -1.098e-7
0.371, -1.146e-7
0.370, -1.200e-7
0.369, -1.263e-7
0.368, -1.333e-7
0.367, -1.411e-7
0.366, -1.495e-7
0.365, -1.584e-7
0.364, -1.680e-7
0.363, -1.784e-7
0.362, -1.893e-7
0.361, -2.001e-7
0.360, -2.105e-7
0.359, -2.202e-7
0.358, -2.295e-7
0.357, -2.392e-7
0.356, -2.505e-7
0.355, -2.638e-7
0.354, -2.794e-7
0.353, -2.964e-7
0.352, -3.132e-7
0.351, -3.284e-7
0.350, -3.409e-7
0.349, -3.510e-7
0.348, -3.607e-7
0.347, -3.723e-7
0.346, -3.871e-7
0.345, -4.053e-7
0.344, -4.257e-7
0.343, -4.461e-7
0.342, -4.657e-7
0.341, -4.851e-7
0.340, -5.057e-7
0.339, -5.280e-7
0.338, -5.514e-7
0.337, -5.745e-7
0.336, -5.969e-7
0.335, -6.200e-7
0.334, -6.448e-7
0.333, -6.713e-7
0.332, -6.995e-7
0.331, -7.289e-7
0.330, -7.597e-7
0.329, -7.916e-7
0.328, -8.241e-7
0.327, -8.560e-7
0.326, -8.880e-7
0.325, -9.213e-7
0.324, -9.564e-7
0.323, -9.925e-7
0.322, -1.030e-6
0.321, -1.067e-6
0.320, -1.104e-6
0.319, -1.146e-6
0.318, -1.190e-6
0.317, -1.237e-6
0.316, -1.285e-6
0.315, -1.332e-6
0.314, -1.379e-6
0.313, -1.428e-6
0.312, -1.480e-6
0.311, -1.536e-6
0.310, -1.595e-6
0.309, -1.657e-6
0.308, -1.720e-6
0.307, -1.783e-6
0.306, -1.846e-6
0.305, -1.909e-6
0.304, -1.976e-6
0.303, -2.049e-6
0.302, -2.124e-6
0.301, -2.203e-6
0.300, -2.282e-6
0.299, -2.361e-6
0.298, -2.445e-6
0.297, -2.532e-6
0.296, -2.622e-6
0.295, -2.715e-6
0.294, -2.812e-6
0.293, -2.912e-6
0.292, -3.016e-6
0.291, -3.122e-6
0.290, -3.230e-6
0.289, -3.338e-6
0.288, -3.449e-6
0.287, -3.566e-6
0.286, -3.690e-6
0.285, -3.819e-6
0.284, -3.951e-6
0.283, -4.087e-6
0.282, -4.228e-6
0.281, -4.374e-6
0.280, -4.524e-6
0.279, -4.678e-6
0.278, -4.835e-6
0.277, -4.996e-6
0.276, -5.159e-6
0.275, -5.326e-6
0.274, -5.500e-6
0.273, -5.681e-6
0.272, -5.868e-6
0.271, -6.062e-6
0.270, -6.264e-6
0.269, -6.470e-6
0.268, -6.681e-6
0.267, -6.897e-6
0.266, -7.117e-6
0.265, -7.341e-6
0.264, -7.572e-6
0.263, -7.809e-6
0.262, -8.054e-6
0.261, -8.308e-6
0.260, -8.569e-6
0.259, -8.836e-6
0.258, -9.113e-6
0.257, -9.397e-6
0.256, -9.691e-6
0.255, -9.992e-6
0.254, -1.030e-5
0.253, -1.061e-5
0.252, -1.093e-5
0.251, -1.125e-5
0.250, -1.159e-5
0.249, -1.193e-5
0.248, -1.227e-5
0.247, -1.263e-5
0.246, -1.300e-5
0.245, -1.338e-5
0.244, -1.377e-5
0.243, -1.416e-5
0.242, -1.457e-5
0.241, -1.498e-5
0.240, -1.540e-5
0.239, -1.583e-5
0.238, -1.627e-5
0.237, -1.672e-5
0.236, -1.717e-5
0.235, -1.763e-5
0.234, -1.811e-5
