Próbka
Potential/V, Current/A
0.500, 4.786e-6
0.499, 4.670e-6
0.498, 4.583e-6
0.497, 4.524e-6
0.496, 4.505e-6
0.495, 4.503e-6
0.494, 4.501e-6
0.493, 4.486e-6
0.492, 4.467e-6
0.491, 4.447e-6
0.490, 4.427e-6
0.489, 4.412e-6
0.488, 4.399e-6
0.487, 4.386e-6
0.486, 4.373e-6
0.485, 4.363e-6
0.484, 4.355e-6
0.483, 4.347e-6
0.482, 4.337e-6
0.481, 4.326e-6
0.480, 4.320e-6
0.479, 4.314e-6
0.478, 4.306e-6
0.477, 4.298e-6
0.476, 4.286e-6
0.475, 4.277e-6
0.474, 4.274e-6
0.473, 4.267e-6
0.472, 4.257e-6
0.471, 4.244e-6
0.470, 4.233e-6
0.469, 4.225e-6
0.468, 4.220e-6
0.467, 4.216e-6
0.466, 4.211e-6
0.465, 4.204e-6
0.464, 4.193e-6
0.463, 4.180e-6
0.462, 4.164e-6
0.461, 4.151e-6
0.460, 4.140e-6
0.459, 4.133e-6
0.458, 4.128e-6
0.457, 4.124e-6
0.456, 4.118e-6
0.455, 4.111e-6
0.454, 4.104e-6
0.453, 4.098e-6
0.452, 4.093e-6
0.451, 4.087e-6
0.450, 4.080e-6
0.449, 4.074e-6
0.448, 4.068e-6
0.447, 4.063e-6
0.446, 4.056e-6
0.445, 4.050e-6
0.444, 4.043e-6
0.443, 4.037e-6
0.442, 4.033e-6
0.441, 4.028e-6
0.440, 4.020e-6
0.439, 4.010e-6
0.438, 3.996e-6
0.437, 3.981e-6
0.436, 3.967e-6
0.435, 3.957e-6
0.434, 3.950e-6
0.433, 3.945e-6
0.432, 3.941e-6
0.431, 3.934e-6
0.430, 3.928e-6
0.429, 3.922e-6
0.428, 3.916e-6
0.427, 3.907e-6
0.426, 3.893e-6
0.425, 3.877e-6
0.424, 3.862e-6
0.423, 3.853e-6
0.422, 3.847e-6
0.421, 3.842e-6
0.420, 3.836e-6
0.419, 3.829e-6
0.418, 3.823e-6
0.417, 3.819e-6
0.416, 3.813e-6
0.415, 3.807e-6
0.414, 3.797e-6
0.413, 3.781e-6
0.412, 3.764e-6
0.411, 3.748e-6
0.410, 3.734e-6
0.409, 3.726e-6
0.408, 3.717e-6
0.407, 3.705e-6
0.406, 3.694e-6
0.405, 3.684e-6
0.404, 3.675e-6
0.403, 3.667e-6
0.402, 3.656e-6
0.401, 3.640e-6
0.400, 3.626e-6
0.399, 3.611e-6
0.398, 3.597e-6
0.397, 3.584e-6
0.396, 3.572e-6
0.395, 3.560e-6
0.394, 3.550e-6
0.393, 3.539e-6
0.392, 3.524e-6
0.391, 3.507e-6
0.390, 3.490e-6
0.389, 3.474e-6
0.388, 3.456e-6
0.387, 3.438e-6
0.386, 3.414e-6
0.385, 3.391e-6
0.384, 3.371e-6
0.383, 3.353e-6
0.382, 3.336e-6
0.381, 3.316e-6
0.380, 3.294e-6
0.379, 3.272e-6
0.378, 3.249e-6
0.377, 3.228e-6
0.376, 3.201e-6
0.375, 3.174e-6
0.374, 3.147e-6
0.373, 3.120e-6
0.372, 3.094e-6
0.371, 3.070e-6
0.370, 3.043e-6
0.369, 3.014e-6
0.368, 2.985e-6
0.367, 2.953e-6
0.366, 2.916e-6
0.365, 2.883e-6
0.364, 2.850e-6
0.363, 2.814e-6
0.362, 2.776e-6
0.361, 2.733e-6
0.360, 2.688e-6
0.359, 2.647e-6
0.358, 2.610e-6
0.357, 2.572e-6
0.356, 2.533e-6
0.355, 2.491e-6
0.354, 2.445e-6
0.353, 2.394e-6
0.352, 2.341e-6
0.351, 2.284e-6
0.350, 2.231e-6
0.349, 2.182e-6
0.348, 2.130e-6
0.347, 2.069e-6
0.346, 2.000e-6
0.345, 1.927e-6
0.344, 1.856e-6
0.343, 1.792e-6
0.342, 1.726e-6
0.341, 1.654e-6
0.340, 1.578e-6
0.339, 1.498e-6
0.338, 1.417e-6
0.337, 1.334e-6
0.336, 1.244e-6
0.335, 1.149e-6
0.334, 1.050e-6
0.333, 9.473e-7
0.332, 8.429e-7
0.331, 7.368e-7
0.330, 6.317e-7
0.329, 5.279e-7
0.328, 4.193e-7
0.327, 3.023e-7
0.326, 1.759e-7
0.325, 4.285e-8
0.324, -9.314e-8
0.323, -2.293e-7
0.322, -3.739e-7
0.321, -5.274e-7
0.320, -6.843e-7
0.319, -8.406e-7
0.318, -9.975e-7
0.317, -1.155e-6
0.316, -1.325e-6
0.315, -1.505e-6
0.314, -1.691e-6
0.313, -1.881e-6
0.312, -2.081e-6
0.311, -2.290e-6
0.310, -2.507e-6
0.309, -2.731e-6
0.308, -2.958e-6
0.307, -3.191e-6
0.306, -3.434e-6
0.305, -3.687e-6
0.304, -3.948e-6
0.303, -4.216e-6
0.302, -4.496e-6
0.301, -4.789e-6
0.300, -5.088e-6
0.299, -5.394e-6
0.298, -5.707e-6
0.297, -6.031e-6
0.296, -6.378e-6
0.295, -6.739e-6
0.294, -7.107e-6
0.293, -7.484e-6
0.292, -7.870e-6
0.291, -8.271e-6
0.290, -8.686e-6
0.289, -9.109e-6
0.288, -9.543e-6
0.287, -1.000e-5
0.286, -1.048e-5
0.285, -1.098e-5
0.284, -1.149e-5
0.283, -1.201e-5
0.282, -1.256e-5
0.281, -1.312e-5
0.280, -1.370e-5
0.279, -1.429e-5
0.278, -1.489e-5
0.277, -1.551e-5
0.276, -1.615e-5
0.275, -1.682e-5
0.274, -1.750e-5
0.273, -1.820e-5
0.272, -1.893e-5
0.271, -1.969e-5
0.270, -2.047e-5
0.269, -2.127e-5
0.268, -2.208e-5
0.267, -2.292e-5
0.266, -2.379e-5
0.265, -2.468e-5
0.264, -2.559e-5
0.263, -2.652e-5
0.262, -2.747e-5
0.261, -2.846e-5
0.260, -2.949e-5
0.259, -3.053e-5
0.258, -3.161e-5
0.257, -3.273e-5
0.256, -3.389e-5
0.255, -3.508e-5
0.254, -3.627e-5
0.253, -3.748e-5
0.252, -3.870e-5
0.251, -3.997e-5
0.250, -4.126e-5
0.249, -4.258e-5
0.248, -4.393e-5
0.247, -4.532e-5
0.246, -4.676e-5
0.245, -4.823e-5
0.244, -4.973e-5
0.243, -5.124e-5
0.242, -5.279e-5
0.241, -5.438e-5
0.240, -5.599e-5
0.239, -5.761e-5
0.238, -5.925e-5
0.237, -6.092e-5
0.236, -6.264e-5
0.235, -6.441e-5
0.234, -6.620e-5
0.233, -6.801e-5
0.232, -6.986e-5
0.231, -7.177e-5
0.230, -7.372e-5
0.229, -7.566e-5
0.228, -7.759e-5
0.227, -7.951e-5
0.226, -8.147e-5
0.225, -8.346e-5
0.224, -8.547e-5
0.223, -8.750e-5
0.222, -8.956e-5
0.221, -9.166e-5
0.220, -9.378e-5
0.219, -9.591e-5
0.218, -9.804e-5
0.217, -1.002e-4
0.216, -1.024e-4
0.215, -1.046e-4
0.214, -1.068e-4
0.213, -1.089e-4
0.212, -1.111e-4
0.211, -1.132e-4
0.210, -1.154e-4
0.209, -1.176e-4
0.208, -1.198e-4
0.207, -1.219e-4
0.206, -1.241e-4
0.205, -1.262e-4
0.204, -1.283e-4
0.203, -1.305e-4
0.202, -1.326e-4
0.201, -1.348e-4
0.200, -1.370e-4
0.199, -1.391e-4
0.198, -1.411e-4
0.197, -1.431e-4
0.196, -1.452e-4
0.195, -1.472e-4
0.194, -1.493e-4
0.193, -1.512e-4
0.192, -1.532e-4
0.191, -1.551e-4
0.190, -1.570e-4
0.189, -1.588e-4
0.188, -1.606e-4
0.187, -1.623e-4
0.186, -1.640e-4
0.185, -1.657e-4
0.184, -1.673e-4
0.183, -1.689e-4
0.182, -1.704e-4
0.181, -1.720e-4
0.180, -1.735e-4
0.179, -1.749e-4
0.178, -1.763e-4
0.177, -1.776e-4
0.176, -1.788e-4
0.175, -1.800e-4
0.174, -1.812e-4
0.173, -1.822e-4
0.172, -1.832e-4
0.171, -1.842e-4
0.170, -1.851e-4
0.169, -1.860e-4
0.168, -1.868e-4
0.167, -1.875e-4
0.166, -1.883e-4
0.165, -1.889e-4
0.164, -1.895e-4
0.163, -1.901e-4
0.162, -1.905e-4
0.161, -1.910e-4
0.160, -1.913e-4
0.159, -1.917e-4
0.158, -1.919e-4
0.157, -1.921e-4
0.156, -1.923e-4
0.155, -1.925e-4
0.154, -1.926e-4
0.153, -1.927e-4
0.152, -1.927e-4
0.151, -1.926e-4
0.150, -1.925e-4
0.149, -1.924e-4
0.148, -1.922e-4
0.147, -1.919e-4
0.146, -1.916e-4
0.145, -1.914e-4
0.144, -1.910e-4
0.143, -1.907e-4
0.142, -1.903e-4
0.141, -1.899e-4
0.140, -1.894e-4
0.139, -1.890e-4
0.138, -1.884e-4
0.137, -1.879e-4
0.136, -1.873e-4
0.135, -1.867e-4
0.134, -1.861e-4
0.133, -1.854e-4
0.132, -1.848e-4
0.131, -1.841e-4
0.130, -1.835e-4
0.129, -1.828e-4
0.128, -1.821e-4
0.127, -1.814e-4
0.126, -1.807e-4
0.125, -1.799e-4
0.124, -1.792e-4
0.123, -1.784e-4
0.122, -1.776e-4
0.121, -1.768e-4
0.120, -1.760e-4
0.119, -1.752e-4
0.118, -1.744e-4
0.117, -1.736e-4
0.116, -1.728e-4
0.115, -1.720e-4
0.114, -1.711e-4
0.113, -1.703e-4
0.112, -1.695e-4
0.111, -1.687e-4
0.110, -1.679e-4
0.109, -1.670e-4
0.108, -1.662e-4
0.107, -1.654e-4
0.106, -1.646e-4
0.105, -1.638e-4
0.104, -1.630e-4
0.103, -1.622e-4
0.102, -1.613e-4
0.101, -1.606e-4
0.100, -1.598e-4
0.099, -1.590e-4
0.098, -1.581e-4
0.097, -1.574e-4
0.096, -1.566e-4
0.095, -1.558e-4
0.094, -1.550e-4
0.093, -1.543e-4
0.092, -1.535e-4
0.091, -1.528e-4
0.090, -1.520e-4
0.089, -1.513e-4
0.088, -1.505e-4
0.087, -1.498e-4
0.086, -1.491e-4
0.085, -1.484e-4
0.084, -1.477e-4
0.083, -1.469e-4
0.082, -1.462e-4
0.081, -1.455e-4
0.080, -1.449e-4
0.079, -1.442e-4
