250 mV/s
Potential/V, Current/A
0.500, 2.633e-7
0.499, 2.088e-7
0.498, 1.682e-7
0.497, 1.416e-7
0.496, 1.341e-7
0.495, 1.356e-7
0.494, 1.378e-7
0.493, 1.340e-7
0.492, 1.273e-7
0.491, 1.169e-7
0.490, 1.091e-7
0.489, 1.062e-7
0.488, 1.067e-7
0.487, 1.072e-7
0.486, 1.043e-7
0.485, 9.622e-8
0.484, 8.714e-8
0.483, 7.958e-8
0.482, 7.508e-8
0.481, 7.238e-8
0.480, 6.912e-8
0.479, 6.350e-8
0.478, 5.844e-8
0.477, 5.200e-8
0.476, 4.770e-8
0.475, 4.527e-8
0.474, 4.562e-8
0.473, 4.576e-8
0.472, 4.527e-8
0.471, 4.153e-8
0.470, 3.862e-8
0.469, 3.696e-8
0.468, 3.911e-8
0.467, 3.911e-8
0.466, 3.481e-8
0.465, 2.621e-8
0.464, 1.852e-8
0.463, 1.367e-8
0.462, 1.339e-8
0.461, 1.443e-8
0.460, 1.526e-8
0.459, 1.498e-8
0.458, 1.498e-8
0.457, 1.498e-8
0.456, 1.498e-8
0.455, 1.471e-8
0.454, 1.554e-8
0.453, 1.658e-8
0.452, 1.602e-8
0.451, 1.228e-8
0.450, 4.796e-9
0.449, -5.393e-9
0.448, -1.288e-8
0.447, -1.662e-8
0.446, -1.718e-8
0.445, -1.641e-8
0.444, -1.447e-8
0.443, -1.482e-8
0.442, -1.558e-8
0.441, -1.773e-8
0.440, -2.203e-8
0.439, -2.847e-8
0.438, -3.326e-8
0.437, -3.970e-8
0.436, -4.400e-8
0.435, -4.615e-8
0.434, -4.691e-8
0.433, -4.698e-8
0.432, -4.587e-8
0.431, -4.615e-8
0.430, -4.643e-8
0.429, -4.532e-8
0.428, -4.539e-8
0.427, -4.615e-8
0.426, -4.830e-8
0.425, -5.259e-8
0.424, -5.904e-8
0.423, -6.382e-8
0.422, -7.027e-8
0.421, -7.457e-8
0.420, -7.671e-8
0.419, -7.748e-8
0.418, -7.755e-8
0.417, -7.644e-8
0.416, -7.671e-8
0.415, -7.671e-8
0.414, -7.671e-8
0.413, -7.671e-8
0.412, -7.671e-8
0.411, -7.699e-8
0.410, -7.616e-8
0.409, -7.484e-8
0.408, -7.651e-8
0.407, -8.046e-8
0.406, -8.635e-8
0.405, -9.335e-8
0.404, -9.709e-8
0.403, -9.813e-8
0.402, -1.014e-7
0.401, -1.041e-7
0.400, -1.064e-7
0.399, -1.083e-7
0.398, -1.081e-7
0.397, -1.070e-7
0.396, -1.073e-7
0.395, -1.076e-7
0.394, -1.064e-7
0.393, -1.065e-7
0.392, -1.073e-7
0.391, -1.094e-7
0.390, -1.137e-7
0.389, -1.202e-7
0.388, -1.250e-7
0.387, -1.314e-7
0.386, -1.357e-7
0.385, -1.381e-7
0.384, -1.381e-7
0.383, -1.371e-7
0.382, -1.365e-7
0.381, -1.406e-7
0.380, -1.480e-7
0.379, -1.582e-7
0.378, -1.657e-7
0.377, -1.697e-7
0.376, -1.695e-7
0.375, -1.674e-7
0.374, -1.671e-7
0.373, -1.711e-7
0.372, -1.786e-7
0.371, -1.888e-7
0.370, -1.966e-7
0.369, -1.995e-7
0.368, -1.990e-7
0.367, -1.985e-7
0.366, -2.014e-7
0.365, -2.094e-7
0.364, -2.185e-7
0.363, -2.261e-7
0.362, -2.306e-7
0.361, -2.333e-7
0.360, -2.368e-7
0.359, -2.416e-7
0.358, -2.456e-7
0.357, -2.526e-7
0.356, -2.609e-7
0.355, -2.697e-7
0.354, -2.797e-7
0.353, -2.878e-7
0.352, -2.941e-7
0.351, -3.027e-7
0.350, -3.111e-7
0.349, -3.167e-7
0.348, -3.215e-7
0.347, -3.250e-7
0.346, -3.304e-7
0.345, -3.403e-7
0.344, -3.521e-7
0.343, -3.625e-7
0.342, -3.722e-7
0.341, -3.795e-7
0.340, -3.856e-7
0.339, -3.920e-7
0.338, -4.007e-7
0.337, -4.119e-7
0.336, -4.263e-7
0.335, -4.438e-7
0.334, -4.601e-7
0.333, -4.735e-7
0.332, -4.853e-7
0.331, -4.980e-7
0.330, -5.108e-7
0.329, -5.269e-7
0.328, -5.435e-7
0.327, -5.596e-7
0.326, -5.727e-7
0.325, -5.846e-7
0.324, -5.953e-7
0.323, -6.095e-7
0.322, -6.288e-7
0.321, -6.530e-7
0.320, -6.773e-7
0.319, -6.987e-7
0.318, -7.194e-7
0.317, -7.395e-7
0.316, -7.588e-7
0.315, -7.792e-7
0.314, -7.994e-7
0.313, -8.189e-7
0.312, -8.427e-7
0.311, -8.715e-7
0.310, -9.012e-7
0.309, -9.320e-7
0.308, -9.613e-7
0.307, -9.873e-7
0.306, -1.012e-6
0.305, -1.037e-6
0.304, -1.060e-6
0.303, -1.087e-6
0.302, -1.119e-6
0.301, -1.156e-6
0.300, -1.197e-6
0.299, -1.235e-6
0.298, -1.269e-6
0.297, -1.299e-6
0.296, -1.332e-6
0.295, -1.370e-6
0.294, -1.414e-6
0.293, -1.458e-6
0.292, -1.501e-6
0.291, -1.543e-6
0.290, -1.587e-6
0.289, -1.638e-6
0.288, -1.693e-6
0.287, -1.747e-6
0.286, -1.796e-6
0.285, -1.842e-6
0.284, -1.888e-6
0.283, -1.941e-6
0.282, -2.004e-6
0.281, -2.074e-6
0.280, -2.146e-6
0.279, -2.211e-6
0.278, -2.266e-6
0.277, -2.317e-6
0.276, -2.374e-6
0.275, -2.441e-6
0.274, -2.519e-6
0.273, -2.602e-6
0.272, -2.682e-6
0.271, -2.761e-6
0.270, -2.835e-6
0.269, -2.908e-6
0.268, -2.984e-6
0.267, -3.069e-6
0.266, -3.162e-6
0.265, -3.267e-6
0.264, -3.371e-6
0.263, -3.468e-6
0.262, -3.561e-6
