File: krzywa kalibracyjna swv - 5hz - 8mm
Potential/V, Diff(i/A), For(i/A), Rev(i/A)
0.048, -8.157e-6, -3.983e-5, -3.167e-5
0.044, -7.515e-6, -3.901e-5, -3.150e-5
0.040, -6.936e-6, -3.824e-5, -3.131e-5
0.036, -6.409e-6, -3.752e-5, -3.111e-5
0.032, -5.933e-6, -3.683e-5, -3.090e-5
0.028, -5.497e-6, -3.618e-5, -3.069e-5
0.024, -5.101e-6, -3.557e-5, -3.047e-5
0.020, -4.743e-6, -3.499e-5, -3.024e-5
0.016, -4.419e-6, -3.444e-5, -3.002e-5
0.012, -4.123e-6, -3.391e-5, -2.979e-5
0.008, -3.854e-6, -3.342e-5, -2.956e-5
0.004, -3.610e-6, -3.295e-5, -2.934e-5
-0.000, -3.387e-6, -3.250e-5, -2.911e-5
-0.004, -3.179e-6, -3.207e-5, -2.889e-5
-0.008, -2.987e-6, -3.166e-5, -2.867e-5
-0.012, -2.811e-6, -3.127e-5, -2.845e-5
-0.016, -2.652e-6, -3.089e-5, -2.824e-5
-0.020, -2.506e-6, -3.054e-5, -2.803e-5
-0.024, -2.372e-6, -3.019e-5, -2.782e-5
-0.028, -2.246e-6, -2.986e-5, -2.762e-5
-0.032, -2.127e-6, -2.954e-5, -2.742e-5
-0.036, -2.023e-6, -2.924e-5, -2.722e-5
-0.040, -1.922e-6, -2.895e-5, -2.702e-5
-0.044, -1.827e-6, -2.866e-5, -2.684e-5
-0.048, -1.738e-6, -2.839e-5, -2.665e-5
-0.052, -1.658e-6, -2.813e-5, -2.647e-5
-0.056, -1.585e-6, -2.788e-5, -2.629e-5
-0.060, -1.519e-6, -2.763e-5, -2.611e-5
-0.064, -1.452e-6, -2.739e-5, -2.594e-5
-0.068, -1.395e-6, -2.717e-5, -2.577e-5
-0.072, -1.340e-6, -2.695e-5, -2.561e-5
-0.076, -1.293e-6, -2.674e-5, -2.544e-5
-0.080, -1.246e-6, -2.653e-5, -2.528e-5
-0.084, -1.200e-6, -2.633e-5, -2.513e-5
-0.088, -1.155e-6, -2.613e-5, -2.497e-5
-0.092, -1.114e-6, -2.594e-5, -2.482e-5
-0.096, -1.071e-6, -2.575e-5, -2.468e-5
-0.100, -1.032e-6, -2.557e-5, -2.454e-5
-0.104, -9.978e-7, -2.540e-5, -2.440e-5
-0.108, -9.647e-7, -2.523e-5, -2.426e-5
-0.112, -9.395e-7, -2.506e-5, -2.412e-5
-0.116, -9.146e-7, -2.490e-5, -2.399e-5
-0.120, -8.894e-7, -2.475e-5, -2.386e-5
-0.124, -8.675e-7, -2.460e-5, -2.373e-5
-0.128, -8.464e-7, -2.445e-5, -2.360e-5
-0.132, -8.230e-7, -2.430e-5, -2.348e-5
-0.136, -8.030e-7, -2.416e-5, -2.336e-5
-0.140, -7.838e-7, -2.402e-5, -2.324e-5
-0.144, -7.668e-7, -2.389e-5, -2.312e-5
-0.148, -7.453e-7, -2.376e-5, -2.301e-5
-0.152, -7.238e-7, -2.363e-5, -2.291e-5
-0.156, -7.032e-7, -2.351e-5, -2.280e-5
-0.160, -6.845e-7, -2.338e-5, -2.270e-5
-0.164, -6.721e-7, -2.326e-5, -2.259e-5
-0.168, -6.618e-7, -2.314e-5, -2.248e-5
-0.172, -6.529e-7, -2.303e-5, -2.238e-5
-0.176, -6.449e-7, -2.293e-5, -2.228e-5
-0.180, -6.377e-7, -2.282e-5, -2.219e-5
-0.184, -6.327e-7, -2.272e-5, -2.209e-5
-0.188, -6.230e-7, -2.262e-5, -2.199e-5
-0.192, -6.161e-7, -2.252e-5, -2.190e-5
-0.196, -6.094e-7, -2.242e-5, -2.181e-5
-0.200, -6.029e-7, -2.232e-5, -2.172e-5
