File: krzywa kalibracyjna swv - 5hz - 10mm
Potential/V, Diff(i/A), For(i/A), Rev(i/A)
0.084, -2.154e-5, -6.184e-5, -4.030e-5
0.080, -1.980e-5, -6.023e-5, -4.042e-5
0.076, -1.821e-5, -5.870e-5, -4.049e-5
0.072, -1.675e-5, -5.726e-5, -4.051e-5
0.068, -1.543e-5, -5.590e-5, -4.047e-5
0.064, -1.422e-5, -5.462e-5, -4.040e-5
0.060, -1.312e-5, -5.341e-5, -4.029e-5
0.056, -1.212e-5, -5.227e-5, -4.015e-5
0.052, -1.120e-5, -5.120e-5, -3.999e-5
0.048, -1.037e-5, -5.018e-5, -3.981e-5
0.044, -9.609e-6, -4.922e-5, -3.961e-5
0.040, -8.921e-6, -4.832e-5, -3.940e-5
0.036, -8.291e-6, -4.747e-5, -3.918e-5
0.032, -7.718e-6, -4.666e-5, -3.894e-5
0.028, -7.192e-6, -4.590e-5, -3.871e-5
0.024, -6.709e-6, -4.518e-5, -3.847e-5
0.020, -6.269e-6, -4.449e-5, -3.822e-5
0.016, -5.867e-6, -4.384e-5, -3.798e-5
0.012, -5.499e-6, -4.323e-5, -3.773e-5
0.008, -5.163e-6, -4.264e-5, -3.748e-5
0.004, -4.853e-6, -4.209e-5, -3.723e-5
-0.000, -4.567e-6, -4.155e-5, -3.699e-5
-0.004, -4.304e-6, -4.105e-5, -3.674e-5
-0.008, -4.060e-6, -4.057e-5, -3.651e-5
-0.012, -3.835e-6, -4.011e-5, -3.627e-5
-0.016, -3.623e-6, -3.966e-5, -3.604e-5
-0.020, -3.430e-6, -3.924e-5, -3.581e-5
-0.024, -3.251e-6, -3.884e-5, -3.559e-5
-0.028, -3.086e-6, -3.845e-5, -3.537e-5
-0.032, -2.936e-6, -3.809e-5, -3.515e-5
-0.036, -2.793e-6, -3.773e-5, -3.494e-5
-0.040, -2.656e-6, -3.739e-5, -3.474e-5
-0.044, -2.530e-6, -3.706e-5, -3.453e-5
-0.048, -2.414e-6, -3.675e-5, -3.433e-5
-0.052, -2.307e-6, -3.645e-5, -3.414e-5
-0.056, -2.207e-6, -3.616e-5, -3.395e-5
-0.060, -2.110e-6, -3.587e-5, -3.376e-5
-0.064, -2.019e-6, -3.560e-5, -3.358e-5
-0.068, -1.932e-6, -3.534e-5, -3.341e-5
-0.072, -1.852e-6, -3.509e-5, -3.323e-5
-0.076, -1.783e-6, -3.485e-5, -3.306e-5
-0.080, -1.714e-6, -3.461e-5, -3.290e-5
-0.084, -1.647e-6, -3.439e-5, -3.274e-5
-0.088, -1.583e-6, -3.417e-5, -3.258e-5
-0.092, -1.521e-6, -3.395e-5, -3.243e-5
-0.096, -1.465e-6, -3.375e-5, -3.228e-5
-0.100, -1.419e-6, -3.355e-5, -3.214e-5
-0.104, -1.373e-6, -3.336e-5, -3.199e-5
-0.108, -1.325e-6, -3.318e-5, -3.186e-5
-0.112, -1.279e-6, -3.300e-5, -3.172e-5
-0.116, -1.237e-6, -3.283e-5, -3.159e-5
-0.120, -1.200e-6, -3.266e-5, -3.146e-5
-0.124, -1.165e-6, -3.250e-5, -3.134e-5
-0.128, -1.135e-6, -3.235e-5, -3.121e-5
-0.132, -1.099e-6, -3.220e-5, -3.110e-5
-0.136, -1.066e-6, -3.205e-5, -3.098e-5
-0.140, -1.035e-6, -3.191e-5, -3.087e-5
-0.144, -1.005e-6, -3.177e-5, -3.076e-5
-0.148, -9.752e-7, -3.164e-5, -3.066e-5
-0.152, -9.482e-7, -3.151e-5, -3.056e-5
-0.156, -9.248e-7, -3.138e-5, -3.046e-5
-0.160, -9.024e-7, -3.126e-5, -3.036e-5
-0.164, -8.813e-7, -3.115e-5, -3.027e-5
-0.168, -8.607e-7, -3.104e-5, -3.017e-5
-0.172, -8.396e-7, -3.093e-5, -3.009e-5
-0.176, -8.229e-7, -3.082e-5, -3.000e-5
-0.180, -8.123e-7, -3.073e-5, -2.991e-5
-0.184, -7.982e-7, -3.063e-5, -2.983e-5
-0.188, -7.848e-7, -3.054e-5, -2.975e-5
-0.192, -7.707e-7, -3.045e-5, -2.968e-5
-0.196, -7.560e-7, -3.036e-5, -2.960e-5
-0.200, -7.406e-7, -3.027e-5, -2.953e-5
