File: krzywa kalibracyjna swv - 5hz - 10mm
Potential/V, Diff(i/A), For(i/A), Rev(i/A)
0.496, -2.726e-7, 1.524e-7, 4.250e-7
0.492, -2.636e-7, 1.419e-7, 4.055e-7
0.488, -2.559e-7, 1.323e-7, 3.882e-7
0.484, -2.494e-7, 1.238e-7, 3.732e-7
0.480, -2.445e-7, 1.174e-7, 3.619e-7
0.476, -2.405e-7, 1.104e-7, 3.509e-7
0.472, -2.369e-7, 1.031e-7, 3.400e-7
0.468, -2.346e-7, 9.544e-8, 3.300e-7
0.464, -2.338e-7, 8.730e-8, 3.211e-7
0.460, -2.342e-7, 7.909e-8, 3.132e-7
0.456, -2.362e-7, 7.028e-8, 3.065e-7
0.452, -2.402e-7, 6.099e-8, 3.012e-7
0.448, -2.454e-7, 5.132e-8, 2.967e-7
0.444, -2.522e-7, 4.110e-8, 2.933e-7
0.440, -2.604e-7, 3.046e-8, 2.909e-7
0.436, -2.700e-7, 1.946e-8, 2.895e-7
0.432, -2.820e-7, 7.154e-9, 2.892e-7
0.428, -2.980e-7, -7.836e-9, 2.901e-7
0.424, -3.189e-7, -2.680e-8, 2.921e-7
0.420, -3.447e-7, -4.932e-8, 2.953e-7
0.416, -3.737e-7, -7.361e-8, 3.001e-7
0.412, -4.050e-7, -9.849e-8, 3.066e-7
0.408, -4.406e-7, -1.254e-7, 3.152e-7
0.404, -4.821e-7, -1.563e-7, 3.257e-7
0.400, -5.329e-7, -1.947e-7, 3.381e-7
0.396, -5.934e-7, -2.410e-7, 3.525e-7
0.392, -6.610e-7, -2.919e-7, 3.692e-7
0.388, -7.384e-7, -3.496e-7, 3.888e-7
0.384, -8.287e-7, -4.165e-7, 4.123e-7
0.380, -9.341e-7, -4.934e-7, 4.407e-7
0.376, -1.059e-6, -5.855e-7, 4.740e-7
0.372, -1.205e-6, -6.933e-7, 5.112e-7
0.368, -1.367e-6, -8.144e-7, 5.528e-7
0.364, -1.554e-6, -9.541e-7, 5.995e-7
0.360, -1.768e-6, -1.114e-6, 6.545e-7
0.356, -2.018e-6, -1.297e-6, 7.211e-7
0.352, -2.308e-6, -1.508e-6, 7.991e-7
0.348, -2.642e-6, -1.753e-6, 8.892e-7
0.344, -3.023e-6, -2.033e-6, 9.906e-7
0.340, -3.459e-6, -2.355e-6, 1.104e-6
0.336, -3.954e-6, -2.721e-6, 1.233e-6
0.332, -4.518e-6, -3.139e-6, 1.379e-6
0.328, -5.158e-6, -3.616e-6, 1.542e-6
0.324, -5.887e-6, -4.160e-6, 1.727e-6
0.320, -6.712e-6, -4.778e-6, 1.934e-6
0.316, -7.643e-6, -5.478e-6, 2.165e-6
0.312, -8.693e-6, -6.272e-6, 2.421e-6
0.308, -9.871e-6, -7.166e-6, 2.705e-6
0.304, -1.119e-5, -8.173e-6, 3.019e-6
0.300, -1.267e-5, -9.303e-6, 3.364e-6
0.296, -1.431e-5, -1.057e-5, 3.742e-6
0.292, -1.613e-5, -1.198e-5, 4.152e-6
0.288, -1.814e-5, -1.354e-5, 4.594e-6
0.284, -2.035e-5, -1.528e-5, 5.069e-6
0.280, -2.277e-5, -1.720e-5, 5.572e-6
0.276, -2.541e-5, -1.931e-5, 6.103e-6
0.272, -2.827e-5, -2.161e-5, 6.658e-6
0.268, -3.134e-5, -2.411e-5, 7.227e-6
0.264, -3.462e-5, -2.682e-5, 7.801e-6
0.260, -3.812e-5, -2.974e-5, 8.373e-6
0.256, -4.180e-5, -3.287e-5, 8.932e-6
0.252, -4.566e-5, -3.620e-5, 9.461e-6
0.248, -4.967e-5, -3.972e-5, 9.951e-6
0.244, -5.380e-5, -4.342e-5, 1.038e-5
0.240, -5.798e-5, -4.726e-5, 1.072e-5
0.236, -6.219e-5, -5.123e-5, 1.096e-5
0.232, -6.637e-5, -5.530e-5, 1.107e-5
0.228, -7.046e-5, -5.942e-5, 1.103e-5
0.224, -7.443e-5, -6.360e-5, 1.083e-5
0.220, -7.823e-5, -6.776e-5, 1.047e-5
0.216, -8.178e-5, -7.187e-5, 9.902e-6
0.212, -8.500e-5, -7.587e-5, 9.130e-6
0.208, -8.785e-5, -7.970e-5, 8.150e-6
0.204, -9.026e-5, -8.331e-5, 6.950e-6
0.200, -9.219e-5, -8.666e-5, 5.532e-6
0.196, -9.363e-5, -8.970e-5, 3.924e-6
0.192, -9.450e-5, -9.239e-5, 2.114e-6
0.188, -9.482e-5, -9.468e-5, 1.378e-7
0.184, -9.461e-5, -9.659e-5, -1.977e-6
0.180, -9.385e-5, -9.806e-5, -4.211e-6
0.176, -9.254e-5, -9.909e-5, -6.554e-6
0.172, -9.072e-5, -9.969e-5, -8.966e-6
0.168, -8.843e-5, -9.986e-5, -1.142e-5
0.164, -8.570e-5, -9.960e-5, -1.390e-5
0.160, -8.262e-5, -9.898e-5, -1.636e-5
0.156, -7.924e-5, -9.800e-5, -1.875e-5
0.152, -7.563e-5, -9.670e-5, -2.107e-5
0.148, -7.186e-5, -9.514e-5, -2.328e-5
0.144, -6.799e-5, -9.335e-5, -2.536e-5
0.140, -6.405e-5, -9.137e-5, -2.732e-5
0.136, -6.010e-5, -8.926e-5, -2.916e-5
0.132, -5.622e-5, -8.704e-5, -3.083e-5
0.128, -5.241e-5, -8.476e-5, -3.235e-5
0.124, -4.872e-5, -8.245e-5, -3.372e-5
0.120, -4.519e-5, -8.013e-5, -3.494e-5
0.116, -4.182e-5, -7.783e-5, -3.601e-5
0.112, -3.862e-5, -7.558e-5, -3.695e-5
0.108, -3.562e-5, -7.338e-5, -3.776e-5
0.104, -3.282e-5, -7.126e-5, -3.844e-5
0.100, -3.019e-5, -6.920e-5, -3.901e-5
0.096, -2.776e-5, -6.723e-5, -3.947e-5
0.092, -2.552e-5, -6.534e-5, -3.982e-5
0.088, -2.344e-5, -6.355e-5, -4.010e-5
