File: krzywa kalibracyjna swv - 100hz - 6mm
Potential/V, Diff(i/A), For(i/A), Rev(i/A)
0.496, -2.804e-6, 7.063e-6, 9.867e-6
0.492, -2.851e-6, 6.916e-6, 9.767e-6
0.488, -2.893e-6, 6.784e-6, 9.677e-6
0.484, -2.930e-6, 6.666e-6, 9.596e-6
0.480, -2.951e-6, 6.577e-6, 9.527e-6
0.476, -2.989e-6, 6.477e-6, 9.466e-6
0.472, -3.014e-6, 6.390e-6, 9.404e-6
0.468, -3.056e-6, 6.292e-6, 9.348e-6
0.464, -3.086e-6, 6.205e-6, 9.291e-6
0.460, -3.129e-6, 6.106e-6, 9.236e-6
0.456, -3.160e-6, 6.018e-6, 9.179e-6
0.452, -3.206e-6, 5.919e-6, 9.125e-6
0.448, -3.242e-6, 5.827e-6, 9.069e-6
0.444, -3.296e-6, 5.722e-6, 9.017e-6
0.440, -3.339e-6, 5.625e-6, 8.964e-6
0.436, -3.396e-6, 5.516e-6, 8.912e-6
0.432, -3.439e-6, 5.419e-6, 8.858e-6
0.428, -3.498e-6, 5.309e-6, 8.807e-6
0.424, -3.548e-6, 5.205e-6, 8.752e-6
0.420, -3.613e-6, 5.086e-6, 8.699e-6
0.416, -3.670e-6, 4.973e-6, 8.644e-6
0.412, -3.748e-6, 4.845e-6, 8.592e-6
0.408, -3.814e-6, 4.726e-6, 8.539e-6
0.404, -3.893e-6, 4.594e-6, 8.487e-6
0.400, -3.963e-6, 4.468e-6, 8.431e-6
0.396, -4.049e-6, 4.327e-6, 8.377e-6
0.392, -4.130e-6, 4.188e-6, 8.318e-6
0.388, -4.233e-6, 4.028e-6, 8.261e-6
0.384, -4.330e-6, 3.870e-6, 8.200e-6
0.380, -4.445e-6, 3.693e-6, 8.138e-6
0.376, -4.557e-6, 3.516e-6, 8.073e-6
0.372, -4.694e-6, 3.319e-6, 8.013e-6
0.368, -4.827e-6, 3.120e-6, 7.947e-6
0.364, -4.986e-6, 2.898e-6, 7.884e-6
0.360, -5.147e-6, 2.670e-6, 7.817e-6
0.356, -5.330e-6, 2.417e-6, 7.747e-6
0.352, -5.519e-6, 2.155e-6, 7.674e-6
0.348, -5.743e-6, 1.861e-6, 7.604e-6
0.344, -5.973e-6, 1.555e-6, 7.528e-6
0.340, -6.239e-6, 1.214e-6, 7.454e-6
0.336, -6.515e-6, 8.571e-7, 7.372e-6
0.332, -6.826e-6, 4.620e-7, 7.288e-6
