File: krzywa kalibracyjna swv - 100hz - próbka
Potential/V, Diff(i/A), For(i/A), Rev(i/A)
0.048, -3.236e-5, -1.679e-4, -1.355e-4
0.044, -2.994e-5, -1.643e-4, -1.344e-4
0.040, -2.783e-5, -1.610e-4, -1.331e-4
0.036, -2.588e-5, -1.578e-4, -1.319e-4
0.032, -2.417e-5, -1.548e-4, -1.306e-4
0.028, -2.259e-5, -1.520e-4, -1.294e-4
0.024, -2.121e-5, -1.493e-4, -1.281e-4
0.020, -1.992e-5, -1.468e-4, -1.269e-4
0.016, -1.880e-5, -1.444e-4, -1.256e-4
0.012, -1.774e-5, -1.421e-4, -1.243e-4
0.008, -1.681e-5, -1.399e-4, -1.230e-4
0.004, -1.593e-5, -1.378e-4, -1.218e-4
-0.000, -1.517e-5, -1.358e-4, -1.206e-4
-0.004, -1.443e-5, -1.339e-4, -1.194e-4
-0.008, -1.379e-5, -1.320e-4, -1.182e-4
-0.012, -1.318e-5, -1.303e-4, -1.171e-4
-0.016, -1.265e-5, -1.286e-4, -1.159e-4
-0.020, -1.212e-5, -1.270e-4, -1.149e-4
-0.024, -1.166e-5, -1.254e-4, -1.137e-4
-0.028, -1.121e-5, -1.239e-4, -1.127e-4
-0.032, -1.083e-5, -1.225e-4, -1.116e-4
-0.036, -1.044e-5, -1.211e-4, -1.106e-4
-0.040, -1.011e-5, -1.197e-4, -1.096e-4
-0.044, -9.777e-6, -1.184e-4, -1.087e-4
-0.048, -9.495e-6, -1.172e-4, -1.077e-4
-0.052, -9.197e-6, -1.160e-4, -1.068e-4
-0.056, -8.947e-6, -1.148e-4, -1.058e-4
-0.060, -8.688e-6, -1.136e-4, -1.049e-4
-0.064, -8.482e-6, -1.125e-4, -1.040e-4
-0.068, -8.262e-6, -1.115e-4, -1.032e-4
-0.072, -8.083e-6, -1.104e-4, -1.023e-4
-0.076, -7.880e-6, -1.094e-4, -1.015e-4
-0.080, -7.717e-6, -1.084e-4, -1.007e-4
-0.084, -7.537e-6, -1.075e-4, -9.993e-5
-0.088, -7.407e-6, -1.065e-4, -9.913e-5
-0.092, -7.252e-6, -1.056e-4, -9.839e-5
-0.096, -7.129e-6, -1.048e-4, -9.763e-5
-0.100, -6.990e-6, -1.039e-4, -9.691e-5
-0.104, -6.883e-6, -1.031e-4, -9.618e-5
-0.108, -6.758e-6, -1.022e-4, -9.549e-5
-0.112, -6.675e-6, -1.015e-4, -9.478e-5
-0.116, -6.569e-6, -1.007e-4, -9.411e-5
-0.120, -6.493e-6, -9.993e-5, -9.343e-5
-0.124, -6.395e-6, -9.919e-5, -9.280e-5
-0.128, -6.326e-6, -9.847e-5, -9.214e-5
-0.132, -6.236e-6, -9.777e-5, -9.153e-5
-0.136, -6.183e-6, -9.708e-5, -9.090e-5
