File: krzywa kalibracyjna swv - 100hz - 10mm
Potential/V, Diff(i/A), For(i/A), Rev(i/A)
0.496, -2.095e-6, 2.770e-6, 4.865e-6
0.492, -2.103e-6, 2.691e-6, 4.794e-6
0.488, -2.113e-6, 2.621e-6, 4.734e-6
0.484, -2.126e-6, 2.560e-6, 4.686e-6
0.480, -2.143e-6, 2.514e-6, 4.657e-6
0.476, -2.151e-6, 2.469e-6, 4.620e-6
0.472, -2.177e-6, 2.423e-6, 4.600e-6
0.468, -2.190e-6, 2.381e-6, 4.571e-6
0.464, -2.225e-6, 2.330e-6, 4.555e-6
0.460, -2.244e-6, 2.284e-6, 4.529e-6
0.456, -2.283e-6, 2.233e-6, 4.516e-6
0.452, -2.316e-6, 2.179e-6, 4.495e-6
0.448, -2.368e-6, 2.117e-6, 4.485e-6
0.444, -2.409e-6, 2.057e-6, 4.466e-6
0.440, -2.476e-6, 1.986e-6, 4.462e-6
0.436, -2.532e-6, 1.918e-6, 4.450e-6
0.432, -2.611e-6, 1.840e-6, 4.451e-6
0.428, -2.688e-6, 1.757e-6, 4.445e-6
0.424, -2.789e-6, 1.660e-6, 4.449e-6
0.420, -2.883e-6, 1.561e-6, 4.445e-6
0.416, -3.008e-6, 1.448e-6, 4.456e-6
0.412, -3.131e-6, 1.328e-6, 4.459e-6
0.408, -3.285e-6, 1.190e-6, 4.475e-6
0.404, -3.442e-6, 1.043e-6, 4.485e-6
0.400, -3.634e-6, 8.754e-7, 4.510e-6
0.396, -3.830e-6, 6.965e-7, 4.526e-6
0.392, -4.069e-6, 4.913e-7, 4.561e-6
0.388, -4.324e-6, 2.662e-7, 4.590e-6
0.384, -4.627e-6, 1.017e-8, 4.637e-6
0.380, -4.949e-6, -2.727e-7, 4.676e-6
0.376, -5.323e-6, -5.889e-7, 4.734e-6
0.372, -5.722e-6, -9.371e-7, 4.785e-6
0.368, -6.185e-6, -1.329e-6, 4.856e-6
0.364, -6.690e-6, -1.764e-6, 4.926e-6
0.360, -7.270e-6, -2.254e-6, 5.017e-6
0.356, -7.898e-6, -2.796e-6, 5.101e-6
0.352, -8.611e-6, -3.403e-6, 5.207e-6
0.348, -9.388e-6, -4.078e-6, 5.310e-6
0.344, -1.026e-5, -4.830e-6, 5.430e-6
0.340, -1.121e-5, -5.663e-6, 5.544e-6
0.336, -1.227e-5, -6.590e-6, 5.677e-6
0.332, -1.342e-5, -7.617e-6, 5.803e-6
0.328, -1.470e-5, -8.751e-6, 5.946e-6
0.324, -1.609e-5, -1.001e-5, 6.080e-6
0.320, -1.763e-5, -1.140e-5, 6.227e-6
0.316, -1.929e-5, -1.294e-5, 6.352e-6
0.312, -2.112e-5, -1.463e-5, 6.486e-6
0.308, -2.310e-5, -1.650e-5, 6.598e-6
0.304, -2.525e-5, -1.855e-5, 6.703e-6
0.300, -2.758e-5, -2.080e-5, 6.772e-6
0.296, -3.009e-5, -2.326e-5, 6.830e-6
0.292, -3.278e-5, -2.595e-5, 6.830e-6
0.288, -3.568e-5, -2.888e-5, 6.801e-6
0.284, -3.879e-5, -3.208e-5, 6.705e-6
0.280, -4.208e-5, -3.553e-5, 6.551e-6
0.276, -4.559e-5, -3.929e-5, 6.299e-6
0.272, -4.932e-5, -4.334e-5, 5.980e-6
0.268, -5.323e-5, -4.771e-5, 5.526e-6
0.264, -5.734e-5, -5.238e-5, 4.963e-6
0.260, -6.168e-5, -5.744e-5, 4.244e-6
0.256, -6.619e-5, -6.281e-5, 3.385e-6
0.252, -7.089e-5, -6.857e-5, 2.327e-6
0.248, -7.577e-5, -7.466e-5, 1.110e-6
0.244, -8.079e-5, -8.113e-5, -3.435e-7
0.240, -8.590e-5, -8.792e-5, -2.013e-6
0.236, -9.113e-5, -9.508e-5, -3.950e-6
0.232, -9.641e-5, -1.025e-4, -6.115e-6
0.228, -1.017e-4, -1.103e-4, -8.585e-6
0.224, -1.071e-4, -1.184e-4, -1.131e-5
0.220, -1.125e-4, -1.268e-4, -1.434e-5
0.216, -1.178e-4, -1.355e-4, -1.765e-5
0.212, -1.231e-4, -1.444e-4, -2.129e-5
0.208, -1.282e-4, -1.534e-4, -2.519e-5
0.204, -1.332e-4, -1.627e-4, -2.942e-5
0.200, -1.380e-4, -1.719e-4, -3.389e-5
0.196, -1.427e-4, -1.813e-4, -3.865e-5
0.192, -1.469e-4, -1.906e-4, -4.364e-5
0.188, -1.509e-4, -1.998e-4, -4.888e-5
0.184, -1.546e-4, -2.089e-4, -5.427e-5
0.180, -1.580e-4, -2.179e-4, -5.987e-5
0.176, -1.609e-4, -2.265e-4, -6.560e-5
0.172, -1.635e-4, -2.349e-4, -7.148e-5
0.168, -1.655e-4, -2.429e-4, -7.740e-5
0.164, -1.671e-4, -2.505e-4, -8.341e-5
0.160, -1.682e-4, -2.576e-4, -8.937e-5
0.156, -1.689e-4, -2.642e-4, -9.532e-5
0.152, -1.691e-4, -2.703e-4, -1.012e-4
0.148, -1.689e-4, -2.758e-4, -1.069e-4
0.144, -1.682e-4, -2.806e-4, -1.124e-4
0.140, -1.670e-4, -2.848e-4, -1.178e-4
0.136, -1.653e-4, -2.883e-4, -1.230e-4
0.132, -1.633e-4, -2.912e-4, -1.279e-4
0.128, -1.609e-4, -2.934e-4, -1.325e-4
0.124, -1.582e-4, -2.950e-4, -1.369e-4
0.120, -1.552e-4, -2.960e-4, -1.408e-4
0.116, -1.519e-4, -2.965e-4, -1.445e-4
0.112, -1.483e-4, -2.963e-4, -1.479e-4
0.108, -1.446e-4, -2.956e-4, -1.510e-4
0.104, -1.407e-4, -2.944e-4, -1.537e-4
0.100, -1.366e-4, -2.928e-4, -1.562e-4
0.096, -1.325e-4, -2.907e-4, -1.583e-4
0.092, -1.282e-4, -2.883e-4, -1.601e-4
0.088, -1.240e-4, -2.856e-4, -1.616e-4
0.084, -1.196e-4, -2.825e-4, -1.629e-4
0.080, -1.154e-4, -2.793e-4, -1.639e-4
0.076, -1.111e-4, -2.758e-4, -1.647e-4
0.072, -1.069e-4, -2.721e-4, -1.652e-4
0.068, -1.028e-4, -2.684e-4, -1.656e-4
0.064, -9.876e-5, -2.645e-4, -1.657e-4
0.060, -9.477e-5, -2.605e-4, -1.658e-4
0.056, -9.092e-5, -2.565e-4, -1.656e-4
0.052, -8.716e-5, -2.525e-4, -1.654e-4
0.048, -8.352e-5, -2.485e-4, -1.650e-4
0.044, -7.999e-5, -2.445e-4, -1.645e-4
0.040, -7.662e-5, -2.405e-4, -1.638e-4
0.036, -7.331e-5, -2.365e-4, -1.632e-4
0.032, -7.018e-5, -2.326e-4, -1.624e-4
0.028, -6.714e-5, -2.288e-4, -1.616e-4
0.024, -6.424e-5, -2.250e-4, -1.608e-4
0.020, -6.144e-5, -2.213e-4, -1.599e-4
0.016, -5.879e-5, -2.177e-4, -1.589e-4
0.012, -5.621e-5, -2.142e-4, -1.579e-4
0.008, -5.376e-5, -2.107e-4, -1.569e-4
0.004, -5.140e-5, -2.073e-4, -1.559e-4
-0.000, -4.917e-5, -2.040e-4, -1.549e-4
-0.004, -4.701e-5, -2.009e-4, -1.538e-4
-0.008, -4.499e-5, -1.978e-4, -1.528e-4
-0.012, -4.303e-5, -1.947e-4, -1.517e-4
-0.016, -4.117e-5, -1.918e-4, -1.506e-4
-0.020, -3.937e-5, -1.890e-4, -1.496e-4
-0.024, -3.768e-5, -1.862e-4, -1.485e-4
-0.028, -3.605e-5, -1.835e-4, -1.475e-4
-0.032, -3.452e-5, -1.809e-4, -1.464e-4
-0.036, -3.304e-5, -1.784e-4, -1.453e-4
-0.040, -3.165e-5, -1.759e-4, -1.443e-4
-0.044, -3.031e-5, -1.736e-4, -1.433e-4
-0.048, -2.907e-5, -1.713e-4, -1.422e-4
-0.052, -2.786e-5, -1.691e-4, -1.412e-4
-0.056, -2.672e-5, -1.669e-4, -1.402e-4
-0.060, -2.562e-5, -1.648e-4, -1.392e-4
-0.064, -2.460e-5, -1.628e-4, -1.382e-4
-0.068, -2.359e-5, -1.608e-4, -1.372e-4
-0.072, -2.267e-5, -1.589e-4, -1.362e-4
-0.076, -2.176e-5, -1.570e-4, -1.353e-4
-0.080, -2.093e-5, -1.552e-4, -1.343e-4
-0.084, -2.010e-5, -1.535e-4, -1.334e-4
-0.088, -1.935e-5, -1.518e-4, -1.324e-4
-0.092, -1.860e-5, -1.502e-4, -1.315e-4
-0.096, -1.792e-5, -1.486e-4, -1.306e-4
-0.100, -1.725e-5, -1.470e-4, -1.298e-4
-0.104, -1.663e-5, -1.455e-4, -1.289e-4
-0.108, -1.602e-5, -1.440e-4, -1.280e-4
-0.112, -1.548e-5, -1.426e-4, -1.271e-4
-0.116, -1.493e-5, -1.412e-4, -1.263e-4
-0.120, -1.443e-5, -1.399e-4, -1.255e-4
-0.124, -1.393e-5, -1.386e-4, -1.247e-4
-0.128, -1.349e-5, -1.373e-4, -1.238e-4
-0.132, -1.304e-5, -1.361e-4, -1.231e-4
