File: krzywa kalibracyjna swv - 100hz - 8mm
Potential/V, Diff(i/A), For(i/A), Rev(i/A)
0.496, -2.566e-6, 8.313e-6, 1.088e-5
0.492, -2.613e-6, 8.190e-6, 1.080e-5
0.488, -2.656e-6, 8.079e-6, 1.074e-5
0.484, -2.694e-6, 7.979e-6, 1.067e-5
0.480, -2.716e-6, 7.901e-6, 1.062e-5
0.476, -2.755e-6, 7.819e-6, 1.057e-5
0.472, -2.785e-6, 7.739e-6, 1.052e-5
0.468, -2.827e-6, 7.660e-6, 1.049e-5
0.464, -2.870e-6, 7.576e-6, 1.045e-5
0.460, -2.923e-6, 7.492e-6, 1.041e-5
0.456, -2.973e-6, 7.405e-6, 1.038e-5
0.452, -3.037e-6, 7.313e-6, 1.035e-5
0.448, -3.094e-6, 7.222e-6, 1.032e-5
0.444, -3.164e-6, 7.127e-6, 1.029e-5
0.440, -3.235e-6, 7.025e-6, 1.026e-5
0.436, -3.319e-6, 6.920e-6, 1.024e-5
0.432, -3.398e-6, 6.812e-6, 1.021e-5
0.428, -3.494e-6, 6.697e-6, 1.019e-5
0.424, -3.592e-6, 6.575e-6, 1.017e-5
0.420, -3.705e-6, 6.448e-6, 1.015e-5
0.416, -3.817e-6, 6.313e-6, 1.013e-5
0.412, -3.951e-6, 6.168e-6, 1.012e-5
0.408, -4.088e-6, 6.013e-6, 1.010e-5
0.404, -4.249e-6, 5.846e-6, 1.009e-5
0.400, -4.418e-6, 5.664e-6, 1.008e-5
0.396, -4.610e-6, 5.470e-6, 1.008e-5
0.392, -4.809e-6, 5.262e-6, 1.007e-5
0.388, -5.043e-6, 5.033e-6, 1.008e-5
0.384, -5.288e-6, 4.789e-6, 1.008e-5
0.380, -5.563e-6, 4.524e-6, 1.009e-5
0.376, -5.861e-6, 4.233e-6, 1.009e-5
0.372, -6.196e-6, 3.916e-6, 1.011e-5
0.368, -6.559e-6, 3.567e-6, 1.013e-5
0.364, -6.973e-6, 3.182e-6, 1.016e-5
0.360, -7.425e-6, 2.759e-6, 1.018e-5
0.356, -7.929e-6, 2.297e-6, 1.023e-5
0.352, -8.480e-6, 1.783e-6, 1.026e-5
0.348, -9.100e-6, 1.217e-6, 1.032e-5
0.344, -9.767e-6, 5.944e-7, 1.036e-5
0.340, -1.051e-5, -8.725e-8, 1.042e-5
0.336, -1.132e-5, -8.407e-7, 1.048e-5
0.332, -1.222e-5, -1.667e-6, 1.055e-5
0.328, -1.320e-5, -2.584e-6, 1.062e-5
0.324, -1.429e-5, -3.591e-6, 1.070e-5
0.320, -1.547e-5, -4.704e-6, 1.077e-5
0.316, -1.677e-5, -5.920e-6, 1.085e-5
0.312, -1.818e-5, -7.264e-6, 1.092e-5
0.308, -1.973e-5, -8.735e-6, 1.099e-5
0.304, -2.139e-5, -1.035e-5, 1.104e-5
0.300, -2.321e-5, -1.212e-5, 1.110e-5
0.296, -2.518e-5, -1.406e-5, 1.112e-5
0.292, -2.730e-5, -1.617e-5, 1.113e-5
0.288, -2.958e-5, -1.848e-5, 1.110e-5
0.284, -3.205e-5, -2.099e-5, 1.105e-5
0.280, -3.466e-5, -2.373e-5, 1.094e-5
0.276, -3.747e-5, -2.668e-5, 1.079e-5
0.272, -4.044e-5, -2.988e-5, 1.056e-5
0.268, -4.360e-5, -3.332e-5, 1.028e-5
0.264, -4.691e-5, -3.703e-5, 9.873e-6
0.260, -5.042e-5, -4.102e-5, 9.400e-6
0.256, -5.408e-5, -4.530e-5, 8.786e-6
0.252, -5.792e-5, -4.985e-5, 8.073e-6
0.248, -6.190e-5, -5.471e-5, 7.188e-6
0.244, -6.603e-5, -5.985e-5, 6.184e-6
0.240, -7.024e-5, -6.528e-5, 4.954e-6
0.236, -7.456e-5, -7.098e-5, 3.577e-6
0.232, -7.893e-5, -7.698e-5, 1.955e-6
0.228, -8.337e-5, -8.322e-5, 1.570e-7
0.224, -8.783e-5, -8.975e-5, -1.920e-6
0.220, -9.235e-5, -9.651e-5, -4.163e-6
0.216, -9.681e-5, -1.035e-4, -6.713e-6
0.212, -1.013e-4, -1.107e-4, -9.458e-6
0.208, -1.056e-4, -1.181e-4, -1.251e-5
0.204, -1.099e-4, -1.256e-4, -1.575e-5
0.200, -1.139e-4, -1.332e-4, -1.930e-5
0.196, -1.178e-4, -1.408e-4, -2.301e-5
0.192, -1.215e-4, -1.485e-4, -2.701e-5
0.188, -1.249e-4, -1.561e-4, -3.115e-5
0.184, -1.281e-4, -1.637e-4, -3.554e-5
0.180, -1.311e-4, -1.711e-4, -4.001e-5
0.176, -1.336e-4, -1.783e-4, -4.472e-5
0.172, -1.359e-4, -1.853e-4, -4.947e-5
0.168, -1.377e-4, -1.921e-4, -5.439e-5
0.164, -1.391e-4, -1.984e-4, -5.932e-5
0.160, -1.402e-4, -2.045e-4, -6.435e-5
0.156, -1.408e-4, -2.101e-4, -6.929e-5
0.152, -1.411e-4, -2.153e-4, -7.425e-5
0.148, -1.410e-4, -2.200e-4, -7.904e-5
0.144, -1.404e-4, -2.242e-4, -8.379e-5
0.140, -1.395e-4, -2.279e-4, -8.834e-5
0.136, -1.382e-4, -2.310e-4, -9.283e-5
0.132, -1.365e-4, -2.336e-4, -9.702e-5
0.128, -1.345e-4, -2.356e-4, -1.011e-4
0.124, -1.323e-4, -2.371e-4, -1.048e-4
0.120, -1.297e-4, -2.380e-4, -1.084e-4
0.116, -1.269e-4, -2.385e-4, -1.116e-4
0.112, -1.238e-4, -2.384e-4, -1.146e-4
0.108, -1.206e-4, -2.379e-4, -1.173e-4
0.104, -1.172e-4, -2.370e-4, -1.198e-4
0.100, -1.137e-4, -2.356e-4, -1.219e-4
0.096, -1.100e-4, -2.339e-4, -1.238e-4
0.092, -1.064e-4, -2.318e-4, -1.254e-4
0.088, -1.026e-4, -2.294e-4, -1.268e-4
0.084, -9.890e-5, -2.268e-4, -1.279e-4
0.080, -9.515e-5, -2.240e-4, -1.288e-4
0.076, -9.145e-5, -2.210e-4, -1.295e-4
0.072, -8.775e-5, -2.178e-4, -1.300e-4
0.068, -8.417e-5, -2.145e-4, -1.303e-4
0.064, -8.060e-5, -2.111e-4, -1.305e-4
0.060, -7.713e-5, -2.076e-4, -1.305e-4
0.056, -7.374e-5, -2.041e-4, -1.304e-4
0.052, -7.050e-5, -2.006e-4, -1.301e-4
0.048, -6.732e-5, -1.971e-4, -1.298e-4
0.044, -6.430e-5, -1.936e-4, -1.293e-4
0.040, -6.137e-5, -1.902e-4, -1.288e-4
0.036, -5.857e-5, -1.868e-4, -1.282e-4
0.032, -5.586e-5, -1.834e-4, -1.276e-4
0.028, -5.332e-5, -1.801e-4, -1.268e-4
0.024, -5.084e-5, -1.769e-4, -1.261e-4
0.020, -4.851e-5, -1.738e-4, -1.253e-4
0.016, -4.626e-5, -1.707e-4, -1.244e-4
0.012, -4.412e-5, -1.677e-4, -1.236e-4
0.008, -4.206e-5, -1.648e-4, -1.227e-4
0.004, -4.013e-5, -1.619e-4, -1.218e-4
-0.000, -3.827e-5, -1.592e-4, -1.209e-4
-0.004, -3.652e-5, -1.565e-4, -1.200e-4
-0.008, -3.485e-5, -1.540e-4, -1.191e-4
-0.012, -3.329e-5, -1.515e-4, -1.182e-4
-0.016, -3.176e-5, -1.490e-4, -1.173e-4
-0.020, -3.034e-5, -1.467e-4, -1.164e-4
-0.024, -2.897e-5, -1.444e-4, -1.155e-4
-0.028, -2.769e-5, -1.422e-4, -1.145e-4
-0.032, -2.645e-5, -1.401e-4, -1.137e-4
-0.036, -2.532e-5, -1.381e-4, -1.127e-4
-0.040, -2.421e-5, -1.361e-4, -1.119e-4
-0.044, -2.318e-5, -1.342e-4, -1.110e-4
-0.048, -2.219e-5, -1.323e-4, -1.101e-4
-0.052, -2.127e-5, -1.305e-4, -1.093e-4
-0.056, -2.036e-5, -1.288e-4, -1.084e-4
-0.060, -1.954e-5, -1.271e-4, -1.076e-4
-0.064, -1.873e-5, -1.255e-4, -1.068e-4
-0.068, -1.799e-5, -1.239e-4, -1.059e-4
-0.072, -1.727e-5, -1.224e-4, -1.051e-4
-0.076, -1.660e-5, -1.209e-4, -1.043e-4
-0.080, -1.594e-5, -1.195e-4, -1.036e-4
-0.084, -1.534e-5, -1.181e-4, -1.028e-4
-0.088, -1.476e-5, -1.168e-4, -1.020e-4
-0.092, -1.422e-5, -1.155e-4, -1.013e-4
-0.096, -1.370e-5, -1.142e-4, -1.005e-4
-0.100, -1.321e-5, -1.130e-4, -9.978e-5
-0.104, -1.273e-5, -1.118e-4, -9.907e-5
-0.108, -1.230e-5, -1.107e-4, -9.835e-5
-0.112, -1.188e-5, -1.095e-4, -9.766e-5
-0.116, -1.149e-5, -1.085e-4, -9.696e-5
-0.120, -1.111e-5, -1.074e-4, -9.629e-5
-0.124, -1.077e-5, -1.064e-4, -9.560e-5
-0.128, -1.043e-5, -1.054e-4, -9.496e-5
-0.132, -1.011e-5, -1.044e-4, -9.430e-5
-0.136, -9.801e-6, -1.035e-4, -9.367e-5
-0.140, -9.527e-6, -1.026e-4, -9.303e-5
-0.144, -9.248e-6, -1.017e-4, -9.242e-5
-0.148, -9.003e-6, -1.008e-4, -9.180e-5
-0.152, -8.758e-6, -9.996e-5, -9.120e-5
-0.156, -8.540e-6, -9.914e-5, -9.060e-5
-0.160, -8.316e-6, -9.834e-5, -9.002e-5
-0.164, -8.121e-6, -9.756e-5, -8.944e-5
-0.168, -7.914e-6, -9.680e-5, -8.888e-5
-0.172, -7.735e-6, -9.605e-5, -8.831e-5
-0.176, -7.549e-6, -9.532e-5, -8.777e-5
-0.180, -7.391e-6, -9.461e-5, -8.722e-5
-0.184, -7.230e-6, -9.393e-5, -8.670e-5
-0.188, -7.091e-6, -9.325e-5, -8.616e-5
-0.192, -6.951e-6, -9.260e-5, -8.565e-5
-0.196, -6.816e-6, -9.196e-5, -8.514e-5
-0.200, -6.685e-6, -9.134e-5, -8.465e-5
