File: krzywa kalibracyjna swv - 100hz - 4mm
Potential/V, Diff(i/A), For(i/A), Rev(i/A)
0.496, -2.557e-6, 5.371e-6, 7.928e-6
0.492, -2.597e-6, 5.243e-6, 7.840e-6
0.488, -2.629e-6, 5.130e-6, 7.759e-6
0.484, -2.654e-6, 5.031e-6, 7.685e-6
0.480, -2.662e-6, 4.959e-6, 7.622e-6
0.476, -2.685e-6, 4.878e-6, 7.563e-6
0.472, -2.697e-6, 4.808e-6, 7.505e-6
0.468, -2.724e-6, 4.728e-6, 7.452e-6
0.464, -2.740e-6, 4.658e-6, 7.398e-6
0.460, -2.770e-6, 4.580e-6, 7.350e-6
0.456, -2.785e-6, 4.514e-6, 7.300e-6
0.452, -2.814e-6, 4.438e-6, 7.252e-6
0.448, -2.832e-6, 4.372e-6, 7.203e-6
0.444, -2.863e-6, 4.294e-6, 7.157e-6
0.440, -2.885e-6, 4.223e-6, 7.108e-6
0.436, -2.924e-6, 4.140e-6, 7.064e-6
0.432, -2.953e-6, 4.064e-6, 7.017e-6
0.428, -2.995e-6, 3.977e-6, 6.971e-6
0.424, -3.027e-6, 3.896e-6, 6.924e-6
0.420, -3.069e-6, 3.807e-6, 6.876e-6
0.416, -3.100e-6, 3.726e-6, 6.825e-6
0.412, -3.143e-6, 3.634e-6, 6.777e-6
0.408, -3.178e-6, 3.547e-6, 6.725e-6
0.404, -3.229e-6, 3.448e-6, 6.677e-6
0.400, -3.272e-6, 3.354e-6, 6.627e-6
0.396, -3.329e-6, 3.249e-6, 6.578e-6
0.392, -3.376e-6, 3.149e-6, 6.525e-6
0.388, -3.436e-6, 3.036e-6, 6.472e-6
0.384, -3.492e-6, 2.926e-6, 6.418e-6
0.380, -3.566e-6, 2.801e-6, 6.367e-6
0.376, -3.632e-6, 2.681e-6, 6.313e-6
0.372, -3.715e-6, 2.544e-6, 6.259e-6
0.368, -3.792e-6, 2.410e-6, 6.203e-6
0.364, -3.888e-6, 2.258e-6, 6.145e-6
0.360, -3.980e-6, 2.106e-6, 6.086e-6
0.356, -4.097e-6, 1.931e-6, 6.029e-6
0.352, -4.210e-6, 1.756e-6, 5.966e-6
0.348, -4.347e-6, 1.559e-6, 5.906e-6
0.344, -4.485e-6, 1.358e-6, 5.843e-6
0.340, -4.647e-6, 1.133e-6, 5.780e-6
0.336, -4.811e-6, 9.025e-7, 5.713e-6
0.332, -5.004e-6, 6.425e-7, 5.647e-6
0.328, -5.203e-6, 3.722e-7, 5.575e-6
0.324, -5.437e-6, 6.812e-8, 5.505e-6
0.320, -5.684e-6, -2.513e-7, 5.433e-6
0.316, -5.964e-6, -6.066e-7, 5.357e-6
0.312, -6.258e-6, -9.815e-7, 5.276e-6
