250 mV/s
Potential/V, Current/A
0.500, 1.109e-7
0.499, 4.061e-8
0.498, -1.496e-8
0.497, -5.582e-8
0.496, -7.699e-8
0.495, -8.815e-8
0.494, -9.737e-8
0.493, -1.075e-7
0.492, -1.183e-7
0.491, -1.290e-7
0.490, -1.378e-7
0.489, -1.453e-7
0.488, -1.515e-7
0.487, -1.553e-7
0.486, -1.617e-7
0.485, -1.684e-7
0.484, -1.749e-7
0.483, -1.821e-7
0.482, -1.872e-7
0.481, -1.917e-7
0.480, -1.952e-7
0.479, -1.979e-7
0.478, -2.024e-7
0.477, -2.103e-7
0.476, -2.182e-7
0.475, -2.261e-7
0.474, -2.306e-7
0.473, -2.330e-7
0.472, -2.374e-7
0.471, -2.432e-7
0.470, -2.467e-7
0.469, -2.502e-7
0.468, -2.496e-7
0.467, -2.492e-7
0.466, -2.534e-7
0.465, -2.594e-7
0.464, -2.657e-7
0.463, -2.740e-7
0.462, -2.789e-7
0.461, -2.831e-7
0.460, -2.875e-7
0.459, -2.915e-7
0.458, -2.946e-7
0.457, -2.974e-7
0.456, -2.996e-7
0.455, -3.009e-7
0.454, -3.046e-7
0.453, -3.116e-7
0.452, -3.175e-7
0.451, -3.215e-7
0.450, -3.231e-7
0.449, -3.218e-7
0.448, -3.210e-7
0.447, -3.215e-7
0.446, -3.204e-7
0.445, -3.202e-7
0.444, -3.221e-7
0.443, -3.242e-7
0.442, -3.280e-7
0.441, -3.314e-7
0.440, -3.309e-7
0.439, -3.314e-7
0.438, -3.347e-7
0.437, -3.379e-7
0.436, -3.445e-7
0.435, -3.499e-7
0.434, -3.518e-7
0.433, -3.526e-7
0.432, -3.526e-7
0.431, -3.515e-7
0.430, -3.518e-7
0.429, -3.518e-7
0.428, -3.518e-7
0.427, -3.518e-7
0.426, -3.518e-7
0.425, -3.518e-7
0.424, -3.518e-7
0.423, -3.518e-7
0.422, -3.518e-7
0.421, -3.518e-7
0.420, -3.521e-7
0.419, -3.513e-7
0.418, -3.499e-7
0.417, -3.516e-7
0.416, -3.556e-7
0.415, -3.614e-7
0.414, -3.684e-7
0.413, -3.722e-7
0.412, -3.732e-7
0.411, -3.765e-7
0.410, -3.792e-7
0.409, -3.815e-7
0.408, -3.834e-7
0.407, -3.835e-7
0.406, -3.813e-7
0.405, -3.813e-7
0.404, -3.832e-7
0.403, -3.853e-7
0.402, -3.891e-7
0.401, -3.926e-7
0.400, -3.920e-7
0.399, -3.926e-7
0.398, -3.958e-7
0.397, -3.990e-7
0.396, -4.057e-7
0.395, -4.111e-7
0.394, -4.132e-7
0.393, -4.129e-7
0.392, -4.130e-7
0.391, -4.124e-7
0.390, -4.159e-7
0.389, -4.204e-7
0.388, -4.250e-7
0.387, -4.277e-7
0.386, -4.306e-7
0.385, -4.306e-7
0.384, -4.323e-7
0.383, -4.330e-7
0.382, -4.336e-7
0.381, -4.368e-7
0.380, -4.406e-7
0.379, -4.430e-7
0.378, -4.437e-7
0.377, -4.436e-7
0.376, -4.430e-7
0.375, -4.465e-7
0.374, -4.510e-7
0.373, -4.559e-7
0.372, -4.574e-7
0.371, -4.601e-7
0.370, -4.617e-7
0.369, -4.666e-7
0.368, -4.711e-7
0.367, -4.746e-7
0.366, -4.743e-7
0.365, -4.733e-7
0.364, -4.728e-7
0.363, -4.768e-7
0.362, -4.843e-7
0.361, -4.945e-7
0.360, -5.019e-7
0.359, -5.060e-7
0.358, -5.054e-7
0.357, -5.044e-7
0.356, -5.044e-7
0.355, -5.068e-7
0.354, -5.114e-7
0.353, -5.167e-7
0.352, -5.216e-7
0.351, -5.288e-7
0.350, -5.352e-7
0.349, -5.417e-7
0.348, -5.489e-7
0.347, -5.540e-7
0.346, -5.585e-7
0.345, -5.620e-7
0.344, -5.647e-7
0.343, -5.692e-7
0.342, -5.771e-7
0.341, -5.853e-7
0.340, -5.920e-7
0.339, -5.963e-7
0.338, -6.006e-7
0.337, -6.074e-7
0.336, -6.159e-7
0.335, -6.229e-7
0.334, -6.264e-7
0.333, -6.296e-7
0.332, -6.369e-7
0.331, -6.492e-7
0.330, -6.634e-7
0.329, -6.779e-7
0.328, -6.896e-7
0.327, -7.004e-7
0.326, -7.086e-7
0.325, -7.133e-7
0.324, -7.176e-7
0.323, -7.251e-7
0.322, -7.382e-7
0.321, -7.575e-7
0.320, -7.754e-7
0.319, -7.913e-7
0.318, -8.055e-7
0.317, -8.179e-7
0.316, -8.290e-7
0.315, -8.393e-7
0.314, -8.509e-7
0.313, -8.674e-7
0.312, -8.884e-7
0.311, -9.116e-7
0.310, -9.296e-7
0.309, -9.422e-7
0.308, -9.559e-7
0.307, -9.740e-7
0.306, -9.958e-7
0.305, -1.020e-6
0.304, -1.041e-6
0.303, -1.058e-6
0.302, -1.076e-6
0.301, -1.096e-6
0.300, -1.120e-6
0.299, -1.149e-6
0.298, -1.181e-6
0.297, -1.215e-6
0.296, -1.247e-6
0.295, -1.276e-6
0.294, -1.303e-6
0.293, -1.333e-6
0.292, -1.366e-6
0.291, -1.403e-6
0.290, -1.438e-6
