150 mV/s
Potential/V, Current/A
0.500, 3.391e-7
0.499, 2.946e-7
0.498, 2.575e-7
0.497, 2.279e-7
0.496, 2.082e-7
0.495, 1.929e-7
0.494, 1.799e-7
0.493, 1.673e-7
0.492, 1.567e-7
0.491, 1.487e-7
0.490, 1.430e-7
0.489, 1.377e-7
0.488, 1.332e-7
0.487, 1.294e-7
0.486, 1.249e-7
0.485, 1.205e-7
0.484, 1.164e-7
0.483, 1.118e-7
0.482, 1.074e-7
0.481, 1.036e-7
0.480, 9.929e-8
0.479, 9.460e-8
0.478, 9.014e-8
0.477, 8.488e-8
0.476, 7.967e-8
0.475, 7.513e-8
0.474, 7.035e-8
0.473, 6.603e-8
0.472, 6.233e-8
0.471, 5.822e-8
0.470, 5.433e-8
0.469, 5.092e-8
0.468, 4.724e-8
0.467, 4.417e-8
0.466, 4.132e-8
0.465, 3.796e-8
0.464, 3.457e-8
0.463, 3.114e-8
0.462, 2.733e-8
0.461, 2.408e-8
0.460, 2.149e-8
0.459, 1.900e-8
0.458, 1.702e-8
0.457, 1.516e-8
0.456, 1.272e-8
0.455, 1.036e-8
0.454, 8.296e-9
0.453, 5.989e-9
0.452, 3.945e-9
0.451, 2.068e-9
0.450, -5.646e-10
0.449, -3.207e-9
0.448, -5.360e-9
0.447, -7.984e-9
0.446, -1.044e-8
0.445, -1.236e-8
0.444, -1.504e-8
0.443, -1.750e-8
0.442, -1.921e-8
0.441, -2.187e-8
0.440, -2.451e-8
0.439, -2.672e-8
0.438, -3.000e-8
0.437, -3.319e-8
0.436, -3.589e-8
0.435, -3.901e-8
0.434, -4.167e-8
0.433, -4.340e-8
0.432, -4.554e-8
0.431, -4.759e-8
0.430, -4.964e-8
0.429, -5.221e-8
0.428, -5.510e-8
0.427, -5.732e-8
0.426, -5.979e-8
0.425, -6.221e-8
0.424, -6.454e-8
0.423, -6.727e-8
0.422, -7.002e-8
0.421, -7.233e-8
0.420, -7.478e-8
0.419, -7.679e-8
0.418, -7.839e-8
0.417, -8.013e-8
0.416, -8.169e-8
0.415, -8.310e-8
0.414, -8.510e-8
0.413, -8.717e-8
0.412, -8.966e-8
0.411, -9.265e-8
0.410, -9.519e-8
0.409, -9.641e-8
0.408, -9.757e-8
0.407, -9.831e-8
0.406, -9.897e-8
0.405, -1.003e-7
0.404, -1.014e-7
0.403, -1.022e-7
0.402, -1.038e-7
0.401, -1.053e-7
0.400, -1.065e-7
0.399, -1.083e-7
0.398, -1.095e-7
0.397, -1.104e-7
0.396, -1.118e-7
0.395, -1.129e-7
0.394, -1.136e-7
0.393, -1.149e-7
0.392, -1.160e-7
0.391, -1.168e-7
0.390, -1.183e-7
0.389, -1.198e-7
0.388, -1.211e-7
0.387, -1.230e-7
0.386, -1.249e-7
